Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,105.39,,51.24
2024-06-30,109.6,$2.06,53.28
2024-03-31,112.32,$1.58,71.16
2023-12-31,95.91,$0.45,212.05
2023-09-30,94.6,$0.47,199.32
2023-06-30,88.06,$3.76,23.39
2023-03-31,84.36,$3.65,23.1
2022-12-31,92.44,$4.26,21.71
2022-09-30,70.05,$4.40,15.93
2022-06-30,75.65,$3.86,19.6
2022-03-31,92.68,$4.34,21.35
2021-12-31,87.42,$4.88,17.91
2021-09-30,88.11,$5.27,16.72
2021-06-30,89.58,$5.59,16.02
2021-03-31,83.53,$5.22,16.01
2020-12-31,73.97,$4.83,15.31
2020-09-30,59.94,$4.20,14.29
2020-06-30,56.31,$4.16,13.55
2020-03-31,42.85,$4.23,10.12
2019-12-31,68.11,$4.12,16.52
2019-09-30,59.31,$3.89,15.26
2019-06-30,58.68,$3.40,17.26
2019-03-31,59.77,$3.34,17.88
2018-12-31,51.78,$3.30,15.69
2018-09-30,65.89,$3.58,18.4
2018-06-30,59.1,$3.51,16.84
2018-03-31,57.99,$3.08,18.85
2017-12-31,58.77,$2.57,22.91
2017-09-30,52.57,$2.23,23.55
2017-06-30,49.48,$2.43,20.4
2017-03-31,49.27,$2.55,19.3
2016-12-31,45.55,$3.42,13.31
2016-09-30,44.12,$3.76,11.72
2016-06-30,41.85,$4.02,10.41
2016-03-31,43.24,$3.58,12.08
2015-12-31,37.64,$2.90,12.97
2015-09-30,34.42,$2.87,12.0
2015-06-30,42.78,$3.25,13.17
2015-03-31,43.36,$3.92,11.06
2014-12-31,46.9,$4.20,11.16
2014-09-30,47.2,$4.32,10.93
2014-06-30,49.71,$4.10,12.13
2014-03-31,49.72,$4.08,12.19
2013-12-31,51.89,$4.15,12.51
2013-09-30,47.53,$4.11,11.57
2013-06-30,39.81,$3.91,10.19
2013-03-31,40.49,$3.69,10.98
2012-12-31,38.12,$3.58,10.65
2012-09-30,34.45,$3.25,10.6
2012-06-30,32.99,$3.13,10.54
2012-03-31,36.65,$3.11,11.77
2011-12-31,32.47,$3.39,9.57
2011-09-30,28.57,$3.43,8.32
2011-06-30,38.58,$3.47,11.1
2011-03-31,39.83,$3.29,12.09
2010-12-31,38.75,$0.61,63.99
2010-09-30,35.47,$1.87,18.94
2010-06-30,29.23,$1.55,18.84
2010-03-31,33.45,$0.72,46.61
2009-09-30,26.23,$3.37,7.79
