AvePoint Price to Free Cash Flow Ratio Historical Data,AvePoint Price to Free Cash Flow Ratio Historical Data,AvePoint Price to Free Cash Flow Ratio Historical Data,AvePoint Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.18,,48.68
2024-06-30,10.42,$0.25,41.65
2024-03-31,7.92,$0.20,38.71
2023-12-31,8.21,$0.17,48.01
2023-09-30,6.72,$0.09,75.76
2023-06-30,5.76,$0.06,91.14
2023-03-31,4.12,$0.01,0.0
2022-12-31,4.11,$-0.03,0.0
2022-09-30,4.01,$-0.01,0.0
2022-06-30,4.34,$-0.01,0.0
2022-03-31,5.26,$0.02,216.46
2021-12-31,6.29,$0.02,347.51
2021-09-30,8.49,$0.05,162.64
2021-06-30,12.25,$0.24,51.82
2021-03-31,11.08,$0.17,66.95
2020-12-31,15.01,$0.20,74.34
2020-09-30,10.6,$0.12,89.0
