United Parks & Resorts Price to Free Cash Flow Ratio Historical Data,United Parks & Resorts Price to Free Cash Flow Ratio Historical Data,United Parks & Resorts Price to Free Cash Flow Ratio Historical Data,United Parks & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.06,,18.23
2024-06-30,54.31,$2.96,18.32
2024-03-31,56.21,$3.16,17.79
2023-12-31,52.83,$3.10,17.03
2023-09-30,46.25,$3.02,15.3
2023-06-30,56.01,$3.81,14.69
2023-03-31,61.31,$4.40,13.93
2022-12-31,53.51,$5.18,10.33
2022-09-30,45.51,$5.12,8.89
2022-06-30,44.18,$4.92,8.98
2022-03-31,74.44,$5.13,14.5
2021-12-31,64.86,$4.70,13.79
2021-09-30,55.32,$3.69,14.97
2021-06-30,49.94,$1.16,43.22
2021-03-31,49.67,$-1.75,0.0
2020-12-31,31.59,$-2.94,0.0
2020-09-30,19.72,$-2.50,0.0
2020-06-30,14.81,$-0.34,0.0
2020-03-31,11.02,$0.86,12.78
2019-12-31,31.71,$1.89,16.78
2019-09-30,26.32,$1.91,13.79
2019-06-30,31.0,$1.64,18.9
2019-03-31,25.76,$1.49,17.33
2018-12-31,22.09,$1.31,16.82
2018-09-30,31.43,$1.12,28.05
2018-06-30,21.82,$0.74,29.3
2018-03-31,14.83,$0.54,27.68
2017-12-31,13.57,$0.23,58.39
2017-09-30,12.99,$0.53,24.71
2017-06-30,16.27,$1.14,14.29
2017-03-31,18.27,$1.00,18.29
2016-12-31,18.93,$1.41,13.41
2016-09-30,13.48,$1.05,12.8
2016-06-30,14.23,$0.92,15.44
2016-03-31,20.63,$1.35,15.3
2015-12-31,18.84,$1.50,12.56
2015-09-30,17.04,$1.42,11.98
2015-06-30,17.44,$1.45,12.07
2015-03-31,18.05,$1.57,11.5
2014-12-31,16.36,$1.22,13.39
2014-09-30,17.58,$1.42,12.35
2014-06-30,25.62,$1.71,15.0
2014-03-31,27.15,$0.98,27.67
