La-Z-Boy Price to Free Cash Flow Ratio Historical Data,La-Z-Boy Price to Free Cash Flow Ratio Historical Data,La-Z-Boy Price to Free Cash Flow Ratio Historical Data,La-Z-Boy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.97,,13.58
2024-07-31,43.92,$3.02,14.56
2024-04-30,32.68,$2.53,12.91
2024-01-31,34.45,$3.21,10.73
2023-10-31,28.78,$4.17,6.9
2023-07-31,30.69,$3.26,9.43
2023-04-30,27.92,$3.16,8.84
2023-01-31,27.47,$2.40,11.47
2022-10-31,23.75,$0.66,36.04
2022-07-31,26.55,$1.14,23.36
2022-04-30,24.87,$0.56,44.05
2022-01-31,34.55,$0.94,36.74
2021-10-31,31.13,$1.72,18.09
2021-07-31,31.32,$3.54,8.86
2021-04-30,41.31,$5.93,6.97
2021-01-31,35.85,$6.88,5.21
2020-10-31,31.57,$6.51,4.85
2020-07-31,26.19,$4.87,5.38
2020-04-30,21.58,$3.78,5.71
2019-10-31,32.37,$2.45,13.22
2019-07-31,29.95,$2.01,14.93
2019-04-30,29.66,$2.20,13.47
2019-01-31,26.68,$1.45,18.34
2018-10-31,24.92,$1.36,18.37
2018-07-31,27.24,$1.80,15.09
2018-04-30,25.62,$1.68,15.25
2018-01-31,26.72,$2.44,10.95
2017-10-31,23.79,$2.44,9.74
2017-07-31,29.71,$2.20,13.49
2017-04-30,24.42,$2.60,9.41
2017-01-31,24.93,$2.37,10.53
2016-10-31,20.33,$2.52,8.08
2016-07-31,26.16,$0.40,66.17
2016-04-30,22.3,$1.92,11.61
2016-01-31,18.41,$1.04,17.76
2015-10-31,24.42,$0.54,44.86
2020-01-31,28.06,$2.58,10.87
2015-07-31,21.66,$0.76,28.45
2015-04-30,22.29,$0.49,45.77
2015-01-31,22.63,$0.46,49.43
2014-10-31,19.32,$0.68,28.52
2014-07-31,17.73,$0.51,34.64
2014-04-30,20.37,$1.10,18.48
2014-01-31,22.58,$1.42,15.93
2013-10-31,19.32,$1.50,12.85
2013-07-31,17.32,$1.47,11.78
2013-04-30,15.06,$0.88,17.21
2013-01-31,13.01,$0.68,19.08
2012-10-31,13.46,$0.86,15.65
2012-07-31,9.92,$0.58,17.23
2012-04-30,12.5,$1.23,10.16
2012-01-31,10.93,$1.30,8.4
2011-10-31,8.43,$0.46,18.29
2011-04-30,9.76,$0.34,28.64
2011-01-31,6.9,$1.65,4.19
2010-10-31,6.45,$1.14,5.68
2010-07-31,7.1,$1.69,4.21
2010-04-30,10.82,$2.37,4.56
2011-07-31,7.28,$1.06,6.89
2010-01-31,8.42,$1.73,4.88
2009-10-31,5.89,$1.58,3.74
