Oscar Health Price to Free Cash Flow Ratio Historical Data,Oscar Health Price to Free Cash Flow Ratio Historical Data,Oscar Health Price to Free Cash Flow Ratio Historical Data,Oscar Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.8,,0.0
2024-06-30,15.82,$-0.25,0.0
2024-03-31,14.87,$-1.08,0.0
2023-12-31,9.15,$-1.34,0.0
2023-09-30,5.57,$-1.96,0.0
2023-06-30,8.06,$0.62,13.03
2023-03-31,6.54,$0.89,7.37
2022-12-31,2.46,$1.65,1.49
2022-09-30,4.99,$0.94,5.3
2022-06-30,4.25,$0.72,5.88
2022-03-31,9.97,$-2.02,0.0
2021-12-31,7.85,$-1.16,0.0
