Pearson Price to Free Cash Flow Ratio Historical Data,Pearson Price to Free Cash Flow Ratio Historical Data,Pearson Price to Free Cash Flow Ratio Historical Data,Pearson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.59,,inf
2023-12-31,12.02,0.0,0.0
2023-06-30,10.17,0.0,0.0
2022-12-31,10.73,0.0,0.0
2021-12-31,7.81,0.0,0.0
2021-06-30,10.71,0.0,0.0
2020-12-31,8.32,0.0,0.0
2020-06-30,6.49,0.0,0.0
2019-12-31,7.38,0.0,0.0
2019-06-30,9.0,0.0,0.0
2018-12-31,10.22,0.0,0.0
2018-06-30,9.87,0.0,0.0
2017-12-31,8.22,0.0,0.0
2017-06-30,7.45,0.0,0.0
2016-12-31,7.86,0.0,0.0
2015-12-31,7.98,0.0,0.0
2015-06-30,13.82,0.0,0.0
2014-12-31,13.13,0.0,0.0
2014-06-30,13.89,0.0,0.0
2013-12-31,15.22,0.0,0.0
2013-06-30,12.03,0.0,0.0
2012-12-31,12.78,0.0,0.0
2012-06-30,12.83,0.0,0.0
2011-12-31,11.9,0.0,0.0
2011-06-30,11.84,0.0,0.0
2010-12-31,9.67,0.0,0.0
2010-06-30,7.9,0.0,0.0
