Powell Industries Price to Free Cash Flow Ratio Historical Data,Powell Industries Price to Free Cash Flow Ratio Historical Data,Powell Industries Price to Free Cash Flow Ratio Historical Data,Powell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,275.58,,18.16
2024-06-30,143.16,$15.18,9.43
2024-03-31,141.82,$18.22,7.78
2023-12-31,87.95,$21.48,4.09
2023-09-30,82.23,$14.42,5.7
2023-06-30,59.91,$10.32,5.8
2023-03-31,41.91,$4.99,8.4
2022-12-31,34.41,$2.11,16.34
2022-09-30,20.41,$3.14,6.5
2022-06-30,22.41,$-0.75,0.0
2022-03-31,18.44,$1.09,16.89
2021-09-30,22.85,$-2.83,0.0
2021-06-30,28.5,$4.56,6.25
2021-03-31,30.96,$4.07,7.6
2020-12-31,26.71,$7.38,3.62
2020-09-30,21.64,$9.98,2.17
2021-12-31,27.69,$1.80,15.41
2020-06-30,24.34,$7.10,3.43
2020-03-31,22.58,$3.81,5.92
2019-12-31,42.79,$4.80,8.92
2019-09-30,33.97,$5.54,6.13
2019-06-30,32.74,$2.37,13.81
2019-03-31,22.71,$0.37,61.76
2018-12-31,21.23,$-0.77,0.0
2018-09-30,30.52,$-2.86,0.0
2018-06-30,29.13,$-1.84,0.0
2018-03-31,22.28,$0.17,133.66
2017-12-31,23.56,$1.32,17.88
2017-09-30,24.43,$2.90,8.43
2017-06-30,25.82,$3.23,8.0
2017-03-31,27.59,$5.76,4.79
2016-12-31,31.01,$4.46,6.95
2016-09-30,31.65,$6.30,5.02
2016-06-30,30.88,$4.72,6.54
2016-03-31,23.22,$3.02,7.7
2015-12-31,20.08,$3.70,5.43
2015-09-30,23.03,$-1.82,0.0
2015-06-30,26.66,$0.22,122.82
2015-03-31,25.42,$-2.07,0.0
2014-12-31,36.66,$-4.03,0.0
2014-09-30,30.34,$-0.60,0.0
2014-06-30,48.32,$-3.61,0.0
2014-03-31,47.7,$-1.80,0.0
2013-12-31,49.12,$0.81,60.87
2013-09-30,44.76,$1.50,29.92
2013-06-30,37.72,$1.64,22.98
2013-03-31,38.39,$-1.27,0.0
2012-12-31,30.33,$-0.64,0.0
2012-09-30,28.24,$-2.92,0.0
2012-06-30,27.28,$-2.69,0.0
2012-03-31,25.01,$0.61,40.93
2011-12-31,22.84,$-1.42,0.0
2011-09-30,22.62,$0.72,31.25
2011-06-30,26.66,$2.75,9.69
2011-03-31,28.8,$1.78,16.16
2010-12-31,24.01,$4.36,5.51
2010-09-30,22.73,$5.11,4.45
2010-06-30,19.97,$5.25,3.8
2010-03-31,23.76,$7.40,3.21
2009-12-31,23.03,$11.53,2.0
