HF Sinclair Price to Free Cash Flow Ratio Historical Data,HF Sinclair Price to Free Cash Flow Ratio Historical Data,HF Sinclair Price to Free Cash Flow Ratio Historical Data,HF Sinclair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.32,,4.64
2024-06-30,52.78,$9.54,5.53
2024-03-31,59.22,$10.90,5.43
2023-12-31,54.04,$10.15,5.32
2023-09-30,54.91,$14.37,3.82
2023-06-30,42.69,$11.11,3.84
2023-03-31,45.79,$14.74,3.11
2022-12-31,48.69,$16.08,3.03
2022-09-30,50.21,$7.85,6.4
2022-06-30,41.79,$4.65,8.98
2022-03-31,36.56,$0.44,83.88
2021-12-31,30.08,$-1.85,0.0
2021-09-30,30.4,$1.52,19.96
2021-06-30,30.19,$0.70,42.97
2021-03-31,32.83,$-0.40,0.0
2020-12-31,23.5,$0.80,29.43
2020-09-30,17.64,$1.23,14.31
2020-06-30,25.79,$3.63,7.11
2020-03-31,21.4,$7.27,2.94
2019-12-31,43.91,$7.50,5.86
2019-09-30,46.14,$9.22,5.0
2019-06-30,39.53,$8.78,4.5
2019-03-31,41.76,$6.46,6.46
2018-12-31,43.06,$7.06,6.1
2018-09-30,58.55,$5.69,10.29
2018-06-30,57.06,$5.19,10.99
2018-03-31,40.56,$5.89,6.89
2017-12-31,42.2,$3.84,10.99
2017-09-30,29.42,$3.76,7.83
2017-06-30,22.2,$2.52,8.81
2017-03-31,22.62,$0.97,23.29
2016-12-31,25.85,$0.73,35.57
2016-09-30,19.11,$-0.31,0.0
2016-06-30,18.32,$0.52,35.02
2016-03-31,26.9,$0.55,48.97
2015-12-31,30.08,$1.74,17.27
2015-09-30,36.58,$1.16,31.62
2015-06-30,31.75,$-0.00,0.0
2015-03-31,29.71,$0.09,330.44
2014-12-31,27.43,$1.07,25.74
2014-09-30,31.36,$1.92,16.37
2014-06-30,30.86,$3.23,9.56
2014-03-31,33.05,$2.73,12.12
2013-12-31,33.93,$2.25,15.11
2013-09-30,28.27,$4.34,6.51
2013-06-30,28.22,$6.43,4.39
2013-03-31,33.38,$6.43,5.19
2012-12-31,29.76,$6.47,4.6
2012-09-30,25.95,$6.94,3.74
2012-06-30,21.65,$4.72,4.58
2012-03-31,19.24,$6.47,2.97
2011-12-31,13.76,$6.07,2.27
2011-09-30,15.0,$3.51,4.27
2011-06-30,19.52,$3.82,5.11
2011-03-31,17.05,$2.32,7.35
2010-12-31,11.41,$0.65,17.47
2010-09-30,8.01,$0.77,10.43
2010-06-30,7.37,$-0.84,0.0
2010-03-31,7.69,$-1.03,0.0
2009-12-31,7.03,$-0.90,0.0
