New Gold Price to Free Cash Flow Ratio Historical Data,New Gold Price to Free Cash Flow Ratio Historical Data,New Gold Price to Free Cash Flow Ratio Historical Data,New Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.88,,33.1
2024-06-30,1.95,$0.09,22.41
2024-03-31,1.7,$-0.01,0.0
2023-12-31,1.46,$0.03,46.06
2023-09-30,0.91,$-0.04,0.0
2023-06-30,1.08,$-0.11,0.0
2023-03-31,1.1,$-0.11,0.0
2022-12-31,0.98,$-0.15,0.0
2022-09-30,0.88,$-0.02,0.0
2022-06-30,1.07,$0.00,0.0
2022-03-31,1.8,$0.10,17.42
2021-12-31,1.5,$0.11,13.16
2021-09-30,1.06,$0.03,38.55
2021-06-30,1.81,$0.06,28.46
2021-03-31,1.54,$0.02,62.35
2020-12-31,2.19,$0.02,139.49
2020-09-30,1.7,$-0.05,0.0
2020-06-30,1.35,$-0.07,0.0
2020-03-31,0.51,$-0.03,0.0
2019-12-31,0.88,$0.02,41.71
2019-09-30,1.01,$0.15,6.81
2019-06-30,0.96,$0.12,8.22
2019-03-31,0.86,$0.10,8.45
2018-12-31,0.76,$0.06,13.56
2018-09-30,0.79,$0.05,16.63
2018-06-30,2.08,$-0.19,0.0
2018-03-31,2.58,$-0.26,0.0
2017-12-31,3.29,$-0.38,0.0
2017-09-30,3.71,$-0.63,0.0
2017-06-30,3.18,$-0.50,0.0
2017-03-31,2.98,$-0.56,0.0
2016-12-31,3.5,$-0.53,0.0
2016-09-30,4.35,$-0.48,0.0
2016-06-30,4.38,$-0.42,0.0
2016-03-31,3.73,$-0.34,0.0
2015-12-31,2.32,$-0.25,0.0
2015-09-30,2.27,$-0.12,0.0
2015-06-30,2.69,$-0.10,0.0
2015-03-31,3.39,$-0.07,0.0
2014-12-31,4.3,$-0.02,0.0
2014-09-30,5.05,$0.04,115.56
2014-06-30,6.37,$0.03,240.38
2014-03-31,4.88,$-0.14,0.0
2013-12-31,5.24,$-0.23,0.0
2013-09-30,5.98,$-0.25,0.0
2013-06-30,6.42,$-0.41,0.0
2013-03-31,9.1,$-0.43,0.0
2012-12-31,11.03,$-0.56,0.0
2012-09-30,12.22,$-0.77,0.0
2012-06-30,9.5,$-0.65,0.0
2012-03-31,9.88,$-0.55,0.0
2011-12-31,10.08,$-0.40,0.0
2011-09-30,10.29,$-0.13,0.0
2011-06-30,10.29,$-0.04,0.0
2011-03-31,11.71,$0.06,182.12
2010-12-31,9.76,$0.08,124.02
2010-09-30,6.71,$0.07,101.51
2010-06-30,6.19,$0.08,77.28
2010-03-31,4.36,$0.02,229.47
2009-12-31,3.64,$-0.07,0.0
