Shift4 Payments Price to Free Cash Flow Ratio Historical Data,Shift4 Payments Price to Free Cash Flow Ratio Historical Data,Shift4 Payments Price to Free Cash Flow Ratio Historical Data,Shift4 Payments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.72,,25.8
2024-06-30,73.35,$3.67,19.98
2024-03-31,66.07,$3.78,17.49
2023-12-31,74.34,$4.14,17.94
2023-09-30,55.37,$4.38,12.65
2023-06-30,67.91,$3.61,18.82
2023-03-31,75.8,$2.46,30.79
2022-12-31,55.93,$2.06,27.09
2022-09-30,44.61,$0.26,170.07
2022-06-30,33.06,$-0.56,0.0
2022-03-31,61.93,$-0.69,0.0
2021-12-31,57.93,$-1.31,0.0
2021-09-30,77.52,$-1.46,0.0
2021-06-30,93.72,$-1.03,0.0
2021-03-31,82.01,$-0.97,0.0
