MGE Energy Price to Free Cash Flow Ratio Historical Data,MGE Energy Price to Free Cash Flow Ratio Historical Data,MGE Energy Price to Free Cash Flow Ratio Historical Data,MGE Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,92.54,,223.15
2024-06-30,74.33,$0.41,179.25
2024-03-31,77.9,$0.78,100.37
2023-12-31,71.07,$0.43,166.02
2023-09-30,66.95,$0.32,209.61
2023-06-30,76.86,$-1.31,0.0
2023-03-31,75.03,$-1.22,0.0
2022-12-31,67.62,$-0.59,0.0
2022-09-30,62.68,$-0.88,0.0
2022-06-30,73.94,$0.74,99.78
2022-03-31,75.44,$0.18,417.24
2021-12-31,77.35,$-0.43,0.0
2021-09-30,68.75,$-0.03,0.0
2021-06-30,69.3,$-0.79,0.0
2021-03-31,66.13,$-0.81,0.0
2020-12-31,64.5,$-0.86,0.0
2020-09-30,57.4,$-0.57,0.0
2020-06-30,58.76,$-1.16,0.0
2020-03-31,59.33,$-1.38,0.0
2019-12-31,71.09,$-0.97,0.0
2019-09-30,71.71,$-1.88,0.0
2019-06-30,65.31,$-1.26,0.0
2019-03-31,60.44,$-1.36,0.0
2018-12-31,53.03,$-1.71,0.0
2018-09-30,56.47,$-0.48,0.0
2018-06-30,55.48,$-0.22,0.0
2018-03-31,49.1,$0.30,165.71
2017-12-31,54.89,$0.75,73.02
2017-09-30,55.92,$0.85,65.62
2017-06-30,55.42,$1.05,52.89
2017-03-31,55.72,$1.77,31.54
2016-12-31,55.71,$1.85,30.08
2016-09-30,47.97,$1.90,25.3
2016-06-30,47.71,$2.37,20.15
2016-03-31,43.86,$2.14,20.51
2015-12-31,38.71,$1.99,19.41
2015-09-30,34.14,$1.49,22.94
2015-06-30,31.85,$0.97,33.0
2015-03-31,36.18,$0.65,55.46
2014-12-31,37.0,$1.04,35.54
2014-09-30,30.03,$1.72,17.48
2014-06-30,31.62,$1.75,18.08
2014-03-31,31.17,$1.68,18.54
2013-12-31,30.36,$0.61,49.6
2013-09-30,28.49,$0.41,70.02
2013-06-30,28.38,$0.85,33.54
2013-03-31,28.52,$1.09,26.17
2012-12-31,26.02,$1.37,18.96
2012-09-30,26.85,$1.56,17.27
2012-06-30,23.78,$1.38,17.17
2012-03-31,22.13,$1.35,16.44
2011-12-31,23.11,$1.89,12.22
2011-09-30,19.92,$2.06,9.66
2011-06-30,19.67,$1.95,10.1
2011-03-31,19.48,$2.23,8.75
2010-12-31,20.38,$1.94,10.5
2010-09-30,18.7,$1.37,13.69
2010-06-30,16.85,$0.89,19.02
2010-03-31,16.36,$0.78,20.98
2009-12-31,16.36,$1.16,14.13
