Sun Life Financial Price to Free Cash Flow Ratio Historical Data,Sun Life Financial Price to Free Cash Flow Ratio Historical Data,Sun Life Financial Price to Free Cash Flow Ratio Historical Data,Sun Life Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,57.24,,11.8
2024-06-30,48.27,$4.85,9.95
2024-03-31,53.77,$3.71,14.51
2023-12-31,50.55,$6.84,7.39
2023-09-30,47.03,$3.76,12.52
2023-06-30,49.66,$3.76,13.21
2023-03-31,44.0,$6.32,6.96
2022-12-31,43.26,$5.72,7.56
2022-09-30,36.63,$1.83,20.01
2022-06-30,41.72,$0.67,62.22
2022-03-31,50.28,$-1.91,0.0
2021-12-31,49.65,$-2.62,0.0
2021-09-30,45.44,$1.49,30.49
2021-06-30,45.14,$4.14,10.92
2021-03-31,43.9,$7.57,5.8
2020-12-31,38.27,$8.99,4.26
2020-09-30,34.73,$9.67,3.59
2020-06-30,31.04,$6.07,5.11
2020-03-31,26.8,$4.70,5.7
2019-12-31,37.69,$3.07,12.27
2019-09-30,36.73,$3.35,10.97
2019-06-30,33.57,$4.46,7.52
2019-03-31,30.87,$2.57,11.99
2018-12-31,26.41,$4.73,5.58
2018-09-30,31.31,$3.10,10.09
2018-06-30,31.32,$2.56,12.21
2018-03-31,31.8,$3.64,8.73
2017-12-31,31.64,$2.25,14.07
2017-09-30,30.26,$3.12,9.7
2017-06-30,26.92,$3.04,8.86
2017-03-31,27.26,$3.15,8.64
2016-12-31,28.4,$4.32,6.58
2016-09-30,23.87,$4.76,5.01
2016-06-30,23.85,$5.33,4.47
2016-03-31,23.23,$4.41,5.27
2015-12-31,22.24,$5.20,4.28
2015-09-30,22.8,$3.06,7.45
2015-06-30,23.38,$3.16,7.4
2015-03-31,21.36,$3.51,6.08
2014-12-31,24.76,$2.60,9.53
2014-09-30,24.69,$2.49,9.91
2014-06-30,24.78,$2.07,11.99
2014-03-31,23.14,$-0.44,0.0
2013-12-31,23.39,$0.89,26.15
2013-09-30,20.97,$1.57,13.33
2013-06-30,19.21,$-0.38,0.0
2013-03-31,17.28,$3.83,4.51
2012-12-31,16.58,$0.93,17.76
2012-09-30,14.33,$1.29,11.08
2012-06-30,13.21,$1.31,10.09
2012-03-31,13.9,$2.29,6.06
2011-12-31,10.69,$4.50,2.37
2011-09-30,13.48,$5.73,2.35
2011-06-30,16.8,$7.24,2.32
2011-03-31,17.14,$4.54,3.78
2010-12-31,16.24,$4.82,3.37
2010-09-30,13.87,$3.73,3.72
2010-06-30,13.82,$4.86,2.84
2010-03-31,16.66,$5.57,2.99
2009-12-31,14.72,$5.41,2.72
