WNS (Holdings) Price to Free Cash Flow Ratio Historical Data,WNS (Holdings) Price to Free Cash Flow Ratio Historical Data,WNS (Holdings) Price to Free Cash Flow Ratio Historical Data,WNS (Holdings) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.18,,11.44
2024-06-30,52.5,$3.86,13.6
2024-03-31,50.0,$3.54,14.12
2023-12-31,63.2,$3.76,16.83
2023-09-30,68.46,$4.63,14.8
2023-06-30,73.72,$2.75,26.81
2023-03-31,93.17,$3.16,29.52
2022-12-31,79.99,$0.79,101.51
2022-09-30,81.84,$0.66,124.19
2022-06-30,74.64,$1.10,67.91
2022-03-31,85.49,$0.94,91.43
2021-12-31,88.22,$1.88,46.9
2021-09-30,81.8,$0.86,95.28
2021-06-30,79.87,$1.97,40.57
2021-03-31,72.44,$2.18,33.21
2020-12-31,72.05,$3.45,20.89
2020-09-30,63.96,$3.64,17.58
2020-06-30,54.98,$3.43,16.03
2020-03-31,42.98,$3.86,11.14
2019-12-31,66.15,$3.36,19.68
2019-09-30,58.75,$3.30,17.8
2019-06-30,59.2,$1.09,54.2
2019-03-31,53.27,$0.91,58.55
2018-12-31,41.26,$0.80,51.61
2018-09-30,50.75,$0.36,141.4
2018-03-31,45.33,$1.95,23.29
2017-12-31,40.13,$1.74,23.01
2017-09-30,36.5,$1.61,22.72
2017-06-30,34.36,$1.20,28.55
2017-03-31,28.61,$1.31,21.87
2016-12-31,27.55,$1.32,20.95
2016-09-30,29.95,$1.33,22.58
2016-06-30,27.0,$1.49,18.13
2016-03-31,30.64,$1.41,21.7
2015-12-31,31.19,$1.44,21.72
2015-09-30,27.95,$1.41,19.88
2015-06-30,26.75,$1.35,19.83
2015-03-31,24.32,$1.37,17.76
2014-12-31,20.66,$1.35,15.33
2014-09-30,22.51,$1.24,18.15
2014-06-30,19.18,$1.30,14.73
2014-03-31,18.0,$1.17,15.32
2013-12-31,21.91,$1.04,21.04
2013-09-30,21.22,$1.11,19.18
2013-06-30,16.69,$0.87,19.28
2013-03-31,14.74,$0.85,17.34
2012-12-31,10.43,$0.67,15.54
2012-09-30,10.24,$0.56,18.43
2012-06-30,9.73,$0.67,14.48
2018-06-30,52.18,$0.98,53.33
2012-03-31,12.05,$0.78,15.46
2011-12-31,8.98,$0.73,12.32
2011-09-30,11.95,$0.66,18.24
2011-06-30,9.0,$0.32,27.77
2011-03-31,10.55,$0.46,22.89
2010-12-31,11.53,$0.33,35.29
2010-09-30,8.92,$0.42,21.13
2010-06-30,11.74,$0.89,13.14
2010-03-31,10.73,$0.94,11.37
2009-12-31,15.03,$1.80,8.36
