Lithia Motors Price to Free Cash Flow Ratio Historical Data,Lithia Motors Price to Free Cash Flow Ratio Historical Data,Lithia Motors Price to Free Cash Flow Ratio Historical Data,Lithia Motors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,315.37,,0.0
2024-06-30,251.98,$-12.94,0.0
2024-03-31,299.69,$-13.97,0.0
2023-12-31,327.44,$-24.98,0.0
2023-09-30,293.1,$-18.16,0.0
2023-06-30,301.33,$-32.60,0.0
2023-03-31,226.31,$-33.92,0.0
2022-12-31,202.06,$-31.68,0.0
2022-09-30,211.32,$-32.07,0.0
2022-06-30,270.26,$-1.07,0.0
2022-03-31,294.71,$35.46,8.31
2021-12-31,291.28,$53.11,5.48
2021-09-30,310.64,$45.89,6.77
2021-06-30,336.39,$25.67,13.11
2021-03-31,381.51,$29.20,13.07
2020-12-31,286.01,$15.90,17.98
2020-09-30,222.49,$31.10,7.16
2020-06-30,147.53,$40.18,3.67
2020-03-31,79.51,$5.67,14.03
2019-12-31,142.44,$6.12,23.27
2019-09-30,128.03,$8.83,14.49
2019-06-30,114.61,$7.70,14.89
2018-12-31,73.21,$14.89,4.92
2018-09-30,78.06,$5.36,14.56
2018-06-30,90.09,$4.60,19.59
2018-03-31,95.47,$2.62,36.43
2017-12-31,107.61,$-2.49,0.0
2017-09-30,113.7,$6.62,17.19
2017-03-31,80.5,$3.20,25.14
2016-12-31,90.77,$-0.30,0.0
2016-09-30,89.26,$2.70,33.0
2016-06-30,66.21,$1.66,39.99
2016-03-31,81.1,$0.26,313.86
2015-12-31,98.85,$-0.13,0.0
2015-09-30,100.02,$-1.60,0.0
2015-06-30,104.52,$-1.11,0.0
2015-03-31,91.64,$-7.34,0.0
2014-12-31,79.77,$-0.57,0.0
2014-09-30,69.5,$1.40,49.78
2014-06-30,86.22,$-5.03,0.0
2017-06-30,88.83,$5.33,16.68
2014-03-31,60.78,$-3.51,0.0
2013-12-31,63.36,$-0.51,0.0
2013-09-30,66.46,$0.58,114.78
2013-06-30,48.46,$-3.77,0.0
2013-03-31,43.05,$-6.85,0.0
2012-12-31,33.93,$-10.36,0.0
2012-09-30,30.03,$-7.70,0.0
2012-06-30,20.71,$-6.08,0.0
2012-03-31,23.44,$-1.54,0.0
2011-12-31,19.5,$-0.10,0.0
2011-09-30,12.79,$-0.65,0.0
2011-06-30,17.39,$-1.01,0.0
2011-03-31,12.86,$-1.25,0.0
2010-12-31,12.56,$-3.65,0.0
2010-09-30,8.4,$-3.46,0.0
2010-06-30,5.38,$-0.80,0.0
2009-12-31,7.11,$0.15,47.32
2009-09-30,13.49,$2.59,5.2
2009-06-30,8.0,$4.83,1.66
