Getty Realty Price to Free Cash Flow Ratio Historical Data,Getty Realty Price to Free Cash Flow Ratio Historical Data,Getty Realty Price to Free Cash Flow Ratio Historical Data,Getty Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.66,,0.0
2024-06-30,26.29,$-3.88,0.0
2024-03-31,26.51,$-3.16,0.0
2023-12-31,27.86,$-2.63,0.0
2023-09-30,26.04,$-3.03,0.0
2023-06-30,31.27,$-0.87,0.0
2023-03-31,32.89,$-1.43,0.0
2022-12-31,30.51,$-0.43,0.0
2022-09-30,23.94,$-0.24,0.0
2022-06-30,23.26,$-1.99,0.0
2022-03-31,24.73,$-1.34,0.0
2021-12-31,27.32,$-2.15,0.0
2021-09-30,24.63,$-1.91,0.0
2021-03-31,23.2,$-0.42,0.0
2020-12-31,22.26,$-1.48,0.0
2020-09-30,20.73,$-1.08,0.0
2020-06-30,23.31,$-1.43,0.0
2020-03-31,18.41,$-1.25,0.0
2019-12-31,25.07,$-0.60,0.0
2021-06-30,25.84,$-0.33,0.0
2019-09-30,24.17,$0.67,36.11
2019-06-30,22.94,$0.33,69.88
2019-03-31,23.63,$-0.43,0.0
2018-12-31,21.46,$-0.37,0.0
2018-09-30,20.6,$-2.19,0.0
2018-06-30,20.09,$-4.92,0.0
2018-03-31,17.77,$-3.95,0.0
2017-12-31,18.89,$-4.17,0.0
2017-09-30,19.66,$-2.64,0.0
2017-06-30,17.08,$0.52,33.04
2017-03-31,17.01,$0.90,18.86
2016-12-31,16.96,$0.96,17.63
2016-09-30,15.75,$1.41,11.14
2016-06-30,13.97,$1.44,9.68
2016-03-31,12.76,$-4.81,0.0
2015-12-31,10.9,$-4.89,0.0
2015-09-30,9.77,$-5.38,0.0
2015-06-30,9.97,$-5.34,0.0
2015-03-31,10.94,$0.75,14.62
2014-12-31,10.82,$0.96,11.28
2014-09-30,9.91,$1.58,6.26
2014-06-30,10.99,$3.09,3.55
2014-03-31,10.77,$1.05,10.25
2013-12-31,10.36,$1.28,8.07
2013-09-30,10.81,$0.87,12.48
2013-06-30,11.38,$-0.96,0.0
2013-03-31,11.02,$1.06,10.43
2012-12-31,9.75,$0.65,15.09
2012-09-30,9.63,$2.75,3.5
2012-06-30,10.2,$3.15,3.23
2012-03-31,8.24,$3.70,2.23
2011-12-31,7.38,$-1.11,0.0
2011-09-30,7.48,$-2.79,0.0
2011-06-30,12.87,$-2.91,0.0
2011-03-31,11.45,$-3.11,0.0
2010-12-31,15.33,$1.97,7.76
2010-09-30,12.95,$1.89,6.87
2010-06-30,10.62,$0.04,290.29
2010-03-31,10.86,$0.26,42.08
2009-12-31,10.71,$0.17,63.88
