Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,82.97,,15.33
2024-04-30,138.55,$5.41,25.59
2024-01-31,130.97,$3.17,41.28
2023-10-31,117.54,$2.07,56.71
2023-07-31,165.78,$0.44,374.31
2023-04-30,216.67,$0.39,559.14
2023-01-31,227.92,$1.90,120.17
2022-10-31,248.3,$2.20,113.04
2022-07-31,241.31,$5.53,43.66
2022-04-30,230.21,$6.60,34.9
2022-01-31,201.57,$7.63,26.4
2021-10-31,213.79,$6.81,31.38
2021-07-31,224.07,$4.94,45.37
2021-04-30,206.44,$7.10,29.09
2021-01-31,186.7,$11.40,16.38
2020-10-31,199.89,$11.99,16.67
2020-07-31,182.04,$12.25,14.86
2020-04-30,167.29,$10.07,16.62
2020-01-31,146.09,$5.64,25.9
2019-10-31,152.37,$6.11,24.92
2019-07-31,127.1,$5.82,21.84
2019-04-30,119.31,$5.53,21.58
2019-01-31,108.94,$5.31,20.53
2018-10-31,104.84,$5.47,19.18
2018-07-31,92.13,$5.23,17.61
2018-04-30,90.35,$4.33,20.87
2018-01-31,96.22,$4.23,22.73
2017-10-31,75.23,$3.57,21.1
2017-07-31,69.71,$3.60,19.36
2017-04-30,67.44,$4.00,16.84
2017-01-31,68.22,$3.73,18.27
2016-10-31,63.63,$4.13,15.39
2016-07-31,86.96,$3.73,23.33
2016-04-30,74.97,$3.18,23.59
2016-01-31,68.5,$3.01,22.77
2015-10-31,61.66,$2.75,22.43
2015-07-31,72.89,$3.29,22.15
2015-04-30,65.76,$3.48,18.89
2015-01-31,60.47,$3.12,19.35
2014-10-31,56.51,$3.81,14.83
2014-07-31,49.8,$3.41,14.61
2014-04-30,50.89,$3.52,14.46
2014-01-31,50.78,$2.97,17.08
2013-10-31,52.1,$1.95,26.73
2013-07-31,49.3,$2.01,24.52
2013-04-30,46.97,$1.53,30.63
2013-01-31,41.68,$1.68,24.83
2012-10-31,43.84,$1.57,27.95
2012-07-31,46.0,$1.24,37.08
2012-04-30,42.8,$1.31,32.64
2012-01-31,38.42,$1.56,24.71
2011-10-31,35.76,$1.46,24.58
2011-07-31,28.37,$1.36,20.84
2011-04-30,29.39,$1.56,18.87
2011-01-31,25.08,$1.18,21.31
2010-10-31,25.42,$1.73,14.7
