Alaska Air Price to Free Cash Flow Ratio Historical Data,Alaska Air Price to Free Cash Flow Ratio Historical Data,Alaska Air Price to Free Cash Flow Ratio Historical Data,Alaska Air Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.65,,31.43
2024-06-30,40.4,$1.45,27.81
2023-12-31,39.07,$-3.20,0.0
2023-09-30,37.08,$-2.95,0.0
2023-06-30,53.18,$-0.41,0.0
2023-03-31,41.96,$-2.30,0.0
2022-12-31,42.94,$1.66,25.87
2024-03-31,42.99,$5.46,7.87
2022-09-30,39.15,$3.85,10.18
2022-06-30,40.05,$3.42,11.71
2022-03-31,58.01,$4.70,12.33
2021-12-31,52.1,$5.84,8.93
2021-09-30,58.6,$4.87,12.04
2021-06-30,60.31,$4.46,13.52
2021-03-31,69.21,$0.39,176.24
2020-12-31,52.0,$-1.43,0.0
2020-09-30,36.63,$0.89,41.39
2020-06-30,36.26,$4.09,8.87
2020-03-31,28.47,$4.93,5.77
2019-12-31,67.37,$8.48,7.94
2019-09-30,64.22,$5.42,11.85
2019-06-30,62.87,$5.21,12.06
2019-03-31,54.9,$4.30,12.77
2018-12-31,59.21,$2.02,29.25
2018-09-30,66.69,$4.52,14.76
2018-06-30,58.21,$3.03,19.24
2018-03-31,59.39,$3.71,15.99
2017-12-31,70.12,$5.18,13.53
2017-09-30,72.42,$4.26,17.01
2017-06-30,84.91,$5.80,14.64
2017-03-31,86.93,$4.54,19.16
2016-12-31,83.38,$5.73,14.55
2016-09-30,61.66,$7.49,8.23
2016-06-30,54.35,$8.23,6.6
2016-03-31,76.15,$7.01,10.86
2015-12-31,74.47,$3.81,19.53
2015-09-30,73.29,$2.33,31.49
2015-06-30,59.29,$1.41,42.05
2014-12-31,54.66,$2.46,22.25
2014-09-30,39.73,$3.53,11.26
2014-06-30,43.25,$4.94,8.75
2014-03-31,42.35,$4.67,9.06
2013-12-31,33.2,$5.19,6.4
2015-03-31,60.72,$4.79,12.67
2013-09-30,28.26,$2.63,10.73
2013-06-30,23.39,$2.68,8.74
2013-03-31,28.77,$1.84,15.67
2012-12-31,19.38,$1.71,11.31
2012-09-30,15.77,$2.04,7.73
2012-06-30,16.15,$2.69,6.01
2012-03-31,16.11,$3.16,5.1
2011-12-31,16.89,$2.25,7.52
2011-09-30,12.66,$2.43,5.21
2011-06-30,15.4,$1.99,7.74
2011-03-31,14.26,$2.04,6.99
2010-12-31,12.75,$2.57,4.96
2010-09-30,11.48,$1.66,6.9
2010-06-30,10.11,$1.75,5.77
2010-03-31,9.27,$0.66,14.07
2009-12-31,7.77,$-1.02,0.0
