Atlantica Sustainable Infrastructure Price to Free Cash Flow Ratio Historical Data,Atlantica Sustainable Infrastructure Price to Free Cash Flow Ratio Historical Data,Atlantica Sustainable Infrastructure Price to Free Cash Flow Ratio Historical Data,Atlantica Sustainable Infrastructure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.98,,10.34
2024-06-30,21.51,$2.13,10.12
2024-03-31,17.75,$2.85,6.23
2023-12-31,20.15,$2.77,7.27
2023-09-30,17.49,$3.08,5.68
2023-06-30,21.05,$3.63,5.8
2023-03-31,26.07,$3.77,6.92
2022-12-31,22.48,$4.62,4.86
2022-09-30,22.46,$4.61,4.87
2022-06-30,27.19,$4.30,6.33
2022-03-31,29.17,$4.27,6.84
2021-12-31,29.37,$4.42,6.65
2021-09-30,28.03,$5.19,5.4
2021-06-30,29.88,$4.94,6.05
2021-03-31,29.06,$4.69,6.2
2020-12-31,29.8,$4.24,7.03
2020-09-30,22.18,$3.34,6.64
2020-06-30,22.25,$3.58,6.22
2020-03-31,16.79,$3.47,4.83
2019-12-31,19.54,$3.60,5.43
2019-09-30,17.56,$3.79,4.63
2019-06-30,16.25,$3.85,4.22
2019-03-31,13.7,$3.67,3.74
2018-12-31,13.54,$4.00,3.38
2018-09-30,14.22,$3.96,3.59
2018-06-30,13.72,$4.44,3.09
2018-03-31,13.09,$4.29,3.05
2017-12-31,13.96,$3.85,3.63
2017-09-30,12.8,$5.43,2.36
2017-06-30,13.71,$3.53,3.88
2017-03-31,13.29,$4.20,3.17
2016-12-31,12.12,$3.96,3.06
2016-06-30,11.36,$3.29,3.46
2016-03-31,10.87,$3.36,3.23
2015-12-31,11.8,$2.99,3.95
2015-09-30,9.84,$-0.11,0.0
2015-06-30,18.28,$1.42,12.91
2015-03-31,19.55,$1.01,19.42
2014-12-31,15.69,$0.54,29.07
