TeraWulf Price to Free Cash Flow Ratio Historical Data,TeraWulf Price to Free Cash Flow Ratio Historical Data,TeraWulf Price to Free Cash Flow Ratio Historical Data,TeraWulf Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.07,,0.0
2024-06-30,4.45,$-0.38,0.0
2024-03-31,2.63,$-0.31,0.0
2023-12-31,2.4,$-0.34,0.0
2023-09-30,1.26,$-0.31,0.0
2023-06-30,1.75,$-0.20,0.0
2023-03-31,0.94,$-0.42,0.0
2022-12-31,0.67,$-0.74,0.0
2022-09-30,1.26,$-1.76,0.0
2022-06-30,1.2,$-1.89,0.0
2022-03-31,8.4,$-1.59,0.0
2021-12-31,15.05,$-1.56,0.0
2021-09-30,28.4,$-0.33,0.0
2021-06-30,19.31,$0.07,287.35
2021-03-31,9.8,$-0.40,0.0
2020-12-31,9.97,$-0.27,0.0
2020-09-30,3.57,$-0.39,0.0
2020-06-30,3.45,$-0.65,0.0
2020-03-31,3.28,$-0.39,0.0
2019-12-31,5.35,$-0.47,0.0
2019-09-30,6.34,$-0.42,0.0
2019-06-30,7.31,$-0.43,0.0
2019-03-31,8.22,$-0.05,0.0
2018-12-31,8.43,$0.34,24.54
2018-09-30,12.5,$0.30,42.29
2018-06-30,10.7,$0.31,34.14
2018-03-31,8.8,$0.19,47.01
2017-12-31,7.52,$0.00,0.0
2017-09-30,8.24,$0.00,0.0
2017-06-30,8.98,$0.05,170.71
2017-03-31,10.04,$-0.13,0.0
2016-12-31,11.25,$-0.56,0.0
2016-09-30,10.75,$-1.06,0.0
2016-06-30,11.24,$-1.29,0.0
2016-03-31,11.8,$-1.33,0.0
2015-12-31,11.19,$-0.69,0.0
2015-09-30,12.0,$-0.34,0.0
2015-06-30,15.05,$0.24,63.85
2015-03-31,16.0,$0.21,76.67
2014-12-31,14.56,$0.27,54.01
2014-09-30,18.15,$0.49,37.25
2014-06-30,25.17,$0.51,49.36
2014-03-31,25.0,$0.71,35.05
2013-12-31,14.75,$0.37,40.1
2013-09-30,18.74,$0.53,35.11
2013-06-30,16.25,$0.44,37.1
2013-03-31,12.35,$0.15,83.9
2012-12-31,8.05,$0.34,23.75
2012-09-30,7.2,$0.19,38.28
2012-06-30,6.86,$-0.07,0.0
2012-03-31,8.19,$0.34,24.02
2011-12-31,6.81,$0.09,75.28
2011-09-30,7.48,$0.44,17.19
2011-06-30,6.71,$0.34,19.47
2011-03-31,7.66,$0.38,20.08
2010-12-31,6.53,$0.73,8.96
2010-09-30,6.32,$0.56,11.24
2010-06-30,6.13,$0.60,10.14
2010-03-31,6.06,$0.53,11.42
2009-12-31,5.67,$0.67,8.52
