Gulfport Energy Price to Free Cash Flow Ratio Historical Data,Gulfport Energy Price to Free Cash Flow Ratio Historical Data,Gulfport Energy Price to Free Cash Flow Ratio Historical Data,Gulfport Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,147.65,,22.05
2024-06-30,151.0,$6.70,22.55
2024-03-31,160.12,$4.48,35.73
2023-12-31,133.2,$9.97,13.36
2023-09-30,118.66,$10.39,11.42
2023-06-30,105.07,$11.11,9.45
2023-03-31,80.0,$14.92,5.36
2022-12-31,73.64,$13.84,5.32
2022-09-30,88.29,$13.49,6.54
2022-06-30,79.51,$14.12,5.63
2022-03-31,89.82,$15.95,5.63
