American Woodmark Price to Free Cash Flow Ratio Historical Data,American Woodmark Price to Free Cash Flow Ratio Historical Data,American Woodmark Price to Free Cash Flow Ratio Historical Data,American Woodmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,99.69,,16.39
2024-07-31,102.15,$6.08,16.8
2024-04-30,92.08,$8.59,10.71
2024-01-31,91.28,$11.97,7.62
2023-10-31,67.23,$13.33,5.04
2023-07-31,76.64,$11.72,6.54
2023-04-30,50.52,$9.37,5.39
2023-01-31,57.29,$7.01,8.17
2022-10-31,45.35,$3.51,12.9
2022-07-31,50.22,$1.17,42.86
2022-04-30,46.85,$-1.19,0.0
2022-01-31,59.93,$-0.59,0.0
2021-10-31,68.74,$1.42,48.36
2021-07-31,74.25,$4.68,15.88
2021-04-30,99.46,$7.04,14.13
2021-01-31,86.51,$8.54,10.13
2020-10-31,82.61,$8.13,10.16
2020-07-31,80.62,$7.22,11.16
2020-04-30,51.41,$8.62,5.96
2020-01-31,109.65,$7.80,14.06
2019-10-31,99.16,$8.04,12.33
2019-07-31,84.85,$10.13,8.37
2019-04-30,89.93,$9.16,9.82
2019-01-31,69.95,$7.77,9.0
2018-10-31,60.44,$6.32,9.56
2018-07-31,83.45,$3.84,21.71
2018-04-30,82.2,$2.34,35.1
2018-01-31,135.85,$2.11,64.37
2017-10-31,96.6,$2.86,33.77
2017-07-31,98.15,$2.59,37.85
2017-04-30,91.9,$3.37,27.25
2017-01-31,71.2,$3.44,20.72
2016-10-31,74.7,$3.39,22.06
2016-07-31,74.23,$4.20,17.69
2016-04-30,72.84,$2.84,25.61
2016-01-31,69.0,$2.74,25.17
2015-10-31,72.7,$3.00,24.19
2015-07-31,65.76,$2.48,26.56
2015-04-30,50.7,$2.50,20.24
2015-01-31,41.13,$2.44,16.83
2014-10-31,40.91,$2.83,14.45
2014-07-31,29.4,$2.52,11.66
2014-04-30,30.01,$3.51,8.55
2014-01-31,35.11,$2.69,13.04
2013-07-31,34.69,$1.50,23.13
2013-04-30,33.65,$1.06,31.7
2013-01-31,27.81,$-0.28,0.0
2012-10-31,23.0,$-0.18,0.0
2012-07-31,16.67,$0.04,428.53
2012-04-30,17.95,$0.65,27.42
2012-01-31,14.22,$0.86,16.45
2011-10-31,17.01,$0.55,31.11
2011-07-31,16.62,$0.01,1470.8
2011-04-30,20.21,$0.68,29.7
2011-01-31,18.48,$0.51,36.56
2010-10-31,17.46,$0.94,18.66
2013-10-31,33.92,$1.32,25.71
2010-04-30,22.45,$-0.10,0.0
2010-01-31,19.49,$2.72,7.16
2009-10-31,18.93,$2.43,7.79
2009-07-31,22.46,$4.08,5.5
