Southside Bancshares Price to Free Cash Flow Ratio Historical Data,Southside Bancshares Price to Free Cash Flow Ratio Historical Data,Southside Bancshares Price to Free Cash Flow Ratio Historical Data,Southside Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.99,,11.91
2024-06-30,27.31,$2.94,9.3
2024-03-31,28.53,$3.54,8.05
2023-12-31,30.2,$2.39,12.66
2023-09-30,27.31,$4.84,5.64
2023-06-30,24.62,$4.76,5.18
2023-03-31,30.86,$4.92,6.27
2022-12-31,33.15,$6.78,4.89
2022-09-30,32.23,$7.02,4.59
2022-06-30,33.83,$6.03,5.61
2022-03-31,36.59,$5.29,6.92
2021-12-31,37.19,$4.58,8.13
2021-09-30,33.75,$5.03,6.71
2021-06-30,33.4,$4.50,7.41
2021-03-31,33.38,$4.49,7.43
2020-12-31,26.65,$2.43,10.96
2020-09-30,20.74,$1.69,12.26
2020-06-30,23.27,$1.41,16.52
2020-03-31,25.23,$1.19,21.18
2019-12-31,30.56,$1.91,15.98
2019-09-30,27.8,$1.87,14.89
2019-06-30,26.15,$2.04,12.79
2019-03-31,26.59,$2.46,10.8
2018-12-31,25.19,$3.16,7.98
2018-09-30,27.34,$3.08,8.87
2018-06-30,26.24,$3.12,8.4
2018-03-31,26.83,$2.85,9.42
2017-12-31,25.81,$2.73,9.44
2017-09-30,27.62,$3.05,9.05
2017-06-30,26.32,$3.27,8.05
2017-03-31,24.47,$3.11,7.86
2016-12-31,27.27,$2.95,9.25
2016-09-30,23.11,$2.71,8.52
2016-06-30,22.03,$2.74,8.04
2016-03-31,17.54,$2.68,6.54
2015-12-31,16.0,$2.53,6.33
2015-09-30,18.15,$1.81,10.02
2015-06-30,19.1,$1.72,11.09
2015-03-31,17.7,$1.90,9.32
2014-12-31,17.7,$2.35,7.54
2014-09-30,20.17,$3.02,6.67
2014-06-30,17.44,$3.15,5.54
2014-03-31,17.85,$2.88,6.19
2013-12-31,15.44,$2.53,6.1
2013-09-30,14.98,$2.51,5.97
2013-06-30,13.22,$2.44,5.42
2013-03-31,10.98,$2.72,4.04
2012-12-31,10.91,$3.08,3.54
2012-09-30,11.01,$3.44,3.2
2012-06-30,11.25,$3.31,3.4
2012-03-31,10.43,$3.46,3.02
2011-12-31,10.14,$3.24,3.13
2011-09-30,8.28,$2.76,3.0
2011-06-30,9.04,$2.39,3.79
2011-03-31,9.21,$2.10,4.38
2010-12-31,8.99,$2.11,4.26
2010-09-30,7.93,$1.82,4.37
2010-06-30,8.17,$1.51,5.43
2010-03-31,8.48,$1.21,7.0
2009-12-31,7.65,$0.84,9.15
