Harmonic Price to Free Cash Flow Ratio Historical Data,Harmonic Price to Free Cash Flow Ratio Historical Data,Harmonic Price to Free Cash Flow Ratio Historical Data,Harmonic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.43,,127.7
2024-06-30,11.77,$0.11,104.16
2024-03-31,13.44,$0.18,76.28
2023-12-31,13.04,$-0.01,0.0
2023-09-30,9.63,$0.11,87.47
2023-06-30,16.17,$-0.05,0.0
2023-03-31,14.59,$0.29,50.75
2022-12-31,13.1,$-0.03,0.0
2022-09-30,13.07,$-0.14,0.0
2022-06-30,8.67,$0.06,156.22
2022-03-31,9.29,$-0.00,0.0
2021-12-31,11.76,$0.26,44.53
2021-09-30,8.75,$0.58,15.04
2021-06-30,8.52,$0.38,22.22
2021-03-31,7.84,$0.29,27.5
2020-12-31,7.39,$0.07,102.92
2020-09-30,5.58,$-0.02,0.0
2020-06-30,4.75,$0.11,41.67
2020-03-31,5.76,$-0.03,0.0
2019-12-31,7.8,$0.23,33.32
2019-09-30,6.58,$0.01,614.95
2019-06-30,5.55,$-0.02,0.0
2019-03-31,5.42,$0.19,28.51
2018-12-31,4.72,$0.06,77.12
2018-09-30,5.5,$0.09,59.14
2018-06-30,4.25,$-0.06,0.0
2018-03-31,3.8,$-0.12,0.0
2017-12-31,4.2,$-0.10,0.0
2017-09-30,3.05,$-0.07,0.0
2017-06-30,5.25,$-0.02,0.0
2017-03-31,5.95,$-0.16,0.0
2016-12-31,5.0,$-0.19,0.0
2016-09-30,5.93,$-0.38,0.0
2016-06-30,2.85,$-0.37,0.0
2016-03-31,3.27,$-0.18,0.0
2015-12-31,4.07,$-0.09,0.0
2015-09-30,5.81,$0.18,32.42
2015-06-30,6.83,$0.26,26.67
2015-03-31,7.41,$0.30,24.42
2014-12-31,7.01,$0.40,17.38
2014-09-30,6.34,$0.33,18.97
2014-06-30,7.46,$0.49,15.37
2014-03-31,7.14,$0.53,13.47
2013-12-31,7.38,$0.36,20.31
2013-09-30,7.68,$0.39,19.87
2013-06-30,6.35,$0.41,15.47
2013-03-31,5.79,$0.38,15.35
2012-12-31,5.07,$0.50,10.14
2012-09-30,4.54,$0.52,8.79
2012-06-30,4.26,$0.42,10.21
2012-03-31,5.47,$0.38,14.24
2011-12-31,5.04,$0.24,21.03
2011-09-30,4.26,$0.18,24.12
2011-06-30,7.23,$-0.09,0.0
2011-03-31,9.38,$-0.24,0.0
2010-12-31,8.57,$-0.18,0.0
2010-09-30,6.88,$-0.09,0.0
2010-06-30,5.44,$0.13,42.17
2010-03-31,6.31,$0.05,117.29
2009-12-31,6.32,$0.03,201.92
