Palomar Holdings Price to Free Cash Flow Ratio Historical Data,Palomar Holdings Price to Free Cash Flow Ratio Historical Data,Palomar Holdings Price to Free Cash Flow Ratio Historical Data,Palomar Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,97.4,,14.15
2024-06-30,81.15,$6.89,11.79
2024-03-31,83.83,$4.95,16.95
2023-12-31,55.5,$4.32,12.85
2023-09-30,50.75,$6.36,7.99
2023-06-30,58.04,$4.01,14.47
2023-03-31,55.2,$5.12,10.78
2022-12-31,45.16,$6.34,7.12
2022-09-30,83.72,$5.39,15.54
2022-06-30,64.4,$6.63,9.71
2022-03-31,63.99,$5.52,11.59
2021-12-31,64.77,$3.18,20.39
2021-09-30,80.83,$1.64,49.29
2021-06-30,75.46,$0.75,100.25
2021-03-31,67.04,$0.71,94.34
2020-12-31,88.84,$2.09,42.57
2020-09-30,104.24,$2.14,48.62
2020-06-30,85.76,$2.12,40.5
2020-03-31,58.16,$2.78,20.89
