Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data,Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data,Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data,Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,163.3,,72.78
2024-06-30,153.37,$2.24,68.35
2024-03-31,147.43,$1.47,100.37
2023-12-31,126.6,$2.10,60.4
2023-09-30,107.76,$1.37,78.91
2023-06-30,109.63,$3.79,28.92
2023-03-31,90.66,$3.97,22.84
2022-12-31,101.72,$4.04,25.2
2022-09-30,89.51,$3.18,28.17
2022-06-30,87.19,$4.57,19.09
2022-03-31,84.32,$4.87,17.32
2021-12-31,80.93,$2.41,33.57
2021-09-30,75.43,$3.95,19.1
2021-06-30,80.6,$1.43,56.23
2021-03-31,75.88,$2.63,28.88
2020-12-31,81.78,$3.90,20.96
2020-09-30,77.57,$3.64,21.33
2020-03-31,63.68,$3.00,21.24
2019-12-31,65.72,$3.91,16.8
2019-09-30,65.37,$4.29,15.24
2019-06-30,60.75,$2.94,20.7
2019-03-31,53.16,$4.73,11.24
2020-06-30,72.46,$2.44,29.71
2018-12-31,41.03,$2.82,14.56
2018-09-30,45.02,$3.19,14.13
2018-06-30,39.51,$2.22,17.8
2018-03-31,34.84,$2.50,13.95
2017-12-31,34.14,$1.76,19.36
2017-09-30,33.32,$1.79,18.63
2017-06-30,28.85,$2.10,13.75
2017-03-31,31.23,$2.19,14.29
2016-12-31,31.68,$1.99,15.88
2016-09-30,27.63,$2.17,12.74
2016-06-30,25.78,$1.22,21.19
2016-03-31,26.2,$1.22,21.48
2015-12-31,26.54,$1.33,20.02
2015-09-30,22.45,$0.94,23.8
2015-06-30,21.51,$1.27,16.99
2015-03-31,24.54,$1.82,13.47
2014-12-31,22.4,$1.61,13.88
2014-09-30,19.67,$2.48,7.94
2014-06-30,16.96,$-0.29,0.0
2014-03-31,17.48,$-0.51,0.0
2013-12-31,14.35,$-0.72,0.0
2013-09-30,13.63,$0.40,33.74
2013-03-31,9.38,$2.98,3.15
2012-12-31,9.65,$4.13,2.33
2012-09-30,9.54,$4.61,2.07
2012-06-30,6.8,$2.87,2.37
2012-03-31,6.88,$3.07,2.24
2013-06-30,12.2,$1.80,6.78
2011-12-31,6.93,$1.27,5.45
2011-09-30,5.98,$2.57,2.32
