Medical Properties Trust Price to Free Cash Flow Ratio Historical Data,Medical Properties Trust Price to Free Cash Flow Ratio Historical Data,Medical Properties Trust Price to Free Cash Flow Ratio Historical Data,Medical Properties Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.71,,1.29
2024-06-30,4.24,$3.66,1.16
2024-03-31,4.34,$2.03,2.14
2023-12-31,4.54,$2.15,2.11
2023-09-30,4.88,$1.76,2.78
2023-06-30,8.1,$2.37,3.42
2023-03-31,6.97,$1.81,3.85
2022-12-31,9.12,$4.70,1.94
2022-09-30,9.48,$5.06,1.87
2022-06-30,11.95,$4.51,2.65
2022-03-31,16.23,$4.45,3.65
2021-12-31,17.88,$1.68,10.66
2021-09-30,15.0,$1.24,12.14
2021-06-30,14.82,$1.14,12.95
2021-03-31,15.48,$1.32,11.74
2020-12-31,15.65,$1.21,12.9
2020-09-30,12.5,$1.60,7.83
2020-06-30,13.14,$1.41,9.35
2020-03-31,11.92,$1.21,9.81
2019-12-31,14.35,$1.22,11.77
2019-09-30,13.13,$0.98,13.38
2019-06-30,11.55,$4.64,2.49
2019-03-31,12.09,$4.80,2.52
2018-12-31,10.36,$5.21,1.99
2018-09-30,9.46,$5.23,1.81
2018-06-30,8.76,$1.57,5.6
2018-03-31,7.97,$1.33,5.97
2017-12-31,8.29,$1.01,8.23
2017-09-30,7.76,$0.83,9.35
2017-06-30,7.47,$1.11,6.7
2017-03-31,7.35,$1.37,5.35
2016-12-31,6.87,$1.12,6.16
2016-09-30,8.1,$1.13,7.19
2016-06-30,8.2,$0.88,9.29
2016-03-31,6.89,$0.45,15.44
2015-12-31,6.0,$0.37,16.43
2015-09-30,5.66,$0.45,12.54
2015-06-30,6.58,$0.52,12.63
2015-03-31,7.27,$0.52,13.93
2014-12-31,6.69,$0.49,13.79
2014-09-30,5.86,$0.69,8.45
2014-06-30,6.23,$0.56,11.12
2014-03-31,5.93,$0.71,8.35
2013-12-31,5.57,$0.86,6.45
2013-09-30,5.46,$0.82,6.67
2013-06-30,6.32,$0.98,6.47
2013-03-31,6.98,$0.95,7.32
2012-12-31,5.14,$1.00,5.15
2012-09-30,4.41,$0.93,4.77
2012-06-30,3.99,$2.52,1.58
2012-03-31,3.76,$2.46,1.53
2011-12-31,3.92,$0.88,4.45
2011-09-30,3.48,$1.70,2.05
2011-06-30,4.38,$0.03,125.57
2011-03-31,4.33,$-0.05,0.0
2010-12-31,3.98,$1.51,2.65
2010-09-30,3.66,$0.71,5.15
2010-06-30,3.34,$0.77,4.33
2010-03-31,3.63,$0.89,4.08
2009-12-31,3.41,$0.99,3.44
