Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,26.46,,8.03
2024-06-30,24.86,$3.30,7.54
2024-03-31,22.18,$3.22,6.88
2023-12-31,22.46,$1.59,14.12
2023-09-30,17.3,$1.55,11.18
2023-06-30,18.04,$1.20,15.08
2023-03-31,16.56,$1.20,13.76
2022-12-31,20.56,$1.21,17.05
2022-09-30,19.22,$1.31,14.67
2022-06-30,20.84,$2.16,9.67
2022-03-31,25.05,$2.24,11.19
2021-12-31,24.43,$2.44,9.99
2021-09-30,23.67,$2.38,9.95
2021-06-30,25.34,$1.69,15.0
2021-03-31,19.71,$1.53,12.88
2020-12-31,19.14,$-1.97,0.0
2020-09-30,19.07,$-1.86,0.0
2020-06-30,18.04,$-1.63,0.0
2020-03-31,16.93,$-1.48,0.0
2019-12-31,13.5,$2.06,6.57
2019-09-30,12.44,$1.99,6.25
2019-06-30,11.42,$1.30,8.79
2019-03-31,12.01,$1.21,9.92
2018-12-31,9.84,$0.77,12.75
2018-09-30,11.05,$0.48,22.87
2018-03-31,13.32,$1.21,11.01
2017-12-31,14.42,$1.42,10.17
2017-09-30,16.82,$1.28,13.17
2017-06-30,14.44,$1.10,13.15
2017-03-31,15.65,$-0.45,0.0
2016-12-31,12.15,$-0.66,0.0
2016-09-30,12.73,$-0.87,0.0
2016-06-30,10.38,$-0.81,0.0
2016-03-31,9.25,$0.82,11.34
2015-12-31,8.45,$1.10,7.69
2015-09-30,7.77,$1.54,5.04
2015-06-30,9.22,$1.51,6.09
2015-03-31,9.21,$1.46,6.32
2014-12-31,10.05,$1.46,6.87
2014-09-30,9.15,$1.39,6.58
2014-06-30,8.86,$1.49,5.96
2014-03-31,7.67,$1.55,4.94
2013-12-31,9.0,$2.23,4.03
2013-09-30,9.38,$2.31,4.06
2013-06-30,8.47,$2.68,3.17
2013-03-31,9.24,$2.45,3.77
2018-06-30,10.68,$1.51,7.08
2012-12-31,7.05,$1.84,3.84
2012-09-30,6.73,$1.74,3.87
2012-06-30,5.47,$1.93,2.83
2012-03-31,7.0,$2.16,3.24
2011-12-31,5.86,$2.13,2.75
2011-09-30,6.1,$2.22,2.75
2011-06-30,7.38,$2.22,3.33
2011-03-31,6.94,$1.98,3.51
2010-12-31,6.27,$1.96,3.2
2010-09-30,5.67,$1.89,2.99
2010-06-30,5.2,$1.79,2.91
2010-03-31,6.34,$1.82,3.48
2009-12-31,6.7,$2.81,2.38
