BrightSphere Investment Group Price to Free Cash Flow Ratio Historical Data,BrightSphere Investment Group Price to Free Cash Flow Ratio Historical Data,BrightSphere Investment Group Price to Free Cash Flow Ratio Historical Data,BrightSphere Investment Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.07,,19.72
2024-06-30,22.16,$1.37,16.15
2024-03-31,22.82,$1.13,20.25
2023-12-31,19.14,$1.28,14.92
2023-09-30,19.36,$1.49,13.01
2023-06-30,20.9,$1.74,12.03
2023-03-31,23.52,$1.81,12.96
2022-12-31,20.51,$2.33,8.8
2022-09-30,14.85,$0.81,18.23
2022-06-30,17.93,$-0.28,0.0
2022-03-31,24.13,$-0.45,0.0
2021-12-31,25.47,$-0.33,0.0
2021-09-30,25.98,$-0.04,0.0
2021-06-30,23.29,$0.67,34.88
2021-03-31,20.25,$0.97,20.95
2020-12-31,19.15,$0.79,24.19
2020-09-30,12.8,$1.32,9.67
2020-06-30,12.36,$1.77,6.97
2020-03-31,6.33,$0.71,8.88
2019-12-31,9.86,$-1.89,0.0
2019-09-30,9.48,$-1.93,0.0
2019-06-30,10.81,$-2.23,0.0
2019-03-31,12.73,$-1.10,0.0
2018-12-31,9.95,$1.61,6.17
2018-09-30,11.45,$1.63,7.0
2018-06-30,13.06,$2.18,5.99
2018-03-31,14.35,$1.73,8.28
2017-12-31,15.16,$1.90,7.98
2017-09-30,13.43,$2.10,6.4
2017-06-30,13.29,$1.28,10.42
2017-03-31,13.44,$1.11,12.1
2016-12-31,12.82,$1.04,12.34
2016-09-30,12.23,$0.92,13.3
2016-06-30,11.67,$1.19,9.84
2016-03-31,11.6,$1.91,6.09
2015-12-31,13.23,$2.00,6.63
2015-09-30,13.24,$2.71,4.89
