Uxin Price to Free Cash Flow Ratio Historical Data,Uxin Price to Free Cash Flow Ratio Historical Data,Uxin Price to Free Cash Flow Ratio Historical Data,Uxin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.72,,0.0
2024-06-30,2.06,$-5.21,0.0
2024-03-31,2.12,$-5.21,0.0
2023-12-31,7.01,$-9.22,0.0
2023-09-30,16.3,$-9.22,0.0
2023-06-30,16.4,$-9.22,0.0
2023-03-31,22.4,$-9.22,0.0
2022-12-31,28.8,$-30.11,0.0
2022-09-30,60.0,$-13.54,0.0
2022-06-30,42.0,$-30.11,0.0
2022-03-31,102.0,$-30.11,0.0
2021-12-31,158.0,$-38.17,0.0
2021-09-30,276.0,$-54.73,0.0
2021-06-30,385.0,$-38.17,0.0
2021-03-31,117.0,$-38.17,0.0
2020-12-31,87.25,$-19.61,0.0
2020-09-30,86.97,$-19.61,0.0
2020-06-30,143.0,$-19.61,0.0
2020-03-31,154.0,$-19.61,0.0
2019-09-30,245.0,0,0.0
