Essential Utilities Price to Free Cash Flow Ratio Historical Data,Essential Utilities Price to Free Cash Flow Ratio Historical Data,Essential Utilities Price to Free Cash Flow Ratio Historical Data,Essential Utilities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.08,,0.0
2024-06-30,37.02,$-1.03,0.0
2024-03-31,36.46,$-1.04,0.0
2023-12-31,36.43,$-1.01,0.0
2023-09-30,33.19,$-1.47,0.0
2023-06-30,38.28,$-1.80,0.0
2023-03-31,41.59,$-1.90,0.0
2022-12-31,45.19,$-2.20,0.0
2022-09-30,38.92,$-2.17,0.0
2022-06-30,42.88,$-1.85,0.0
2022-03-31,47.53,$-1.60,0.0
2021-12-31,49.62,$-1.59,0.0
2021-09-30,42.35,$-1.50,0.0
2021-06-30,41.77,$-1.18,0.0
2021-03-31,40.68,$-1.13,0.0
2020-12-31,42.76,$-15.03,0.0
2020-09-30,36.19,$-14.61,0.0
2020-06-30,37.77,$-14.24,0.0
2020-03-31,36.18,$-14.54,0.0
2019-12-31,41.54,$-1.24,0.0
2019-09-30,39.46,$-1.41,0.0
2019-06-30,36.22,$-2.08,0.0
2019-03-31,31.73,$-1.74,0.0
2018-12-31,29.59,$-1.53,0.0
2018-09-30,31.72,$-1.08,0.0
2018-06-30,30.07,$-0.52,0.0
2018-03-31,28.93,$-0.59,0.0
2017-12-31,33.13,$-0.57,0.0
2017-09-30,27.87,$-0.38,0.0
2017-06-30,27.79,$-0.30,0.0
2017-03-31,26.67,$-0.12,0.0
2016-12-31,24.77,$0.06,383.37
2016-09-30,24.96,$-0.01,0.0
2016-06-30,29.03,$0.04,797.48
2016-03-31,25.76,$-0.12,0.0
2015-12-31,23.99,$-0.13,0.0
2015-09-30,21.18,$-0.12,0.0
2015-06-30,19.47,$-0.09,0.0
2015-03-31,20.81,$0.08,262.11
2014-12-31,20.96,$0.12,176.39
2014-09-30,18.35,$0.22,81.9
2014-06-30,20.31,$0.31,66.53
2014-03-31,19.3,$0.32,59.96
2013-12-31,18.05,$0.28,63.53
2013-09-30,18.81,$0.37,50.99
2013-06-30,18.92,$0.24,80.53
2013-03-31,18.91,$-0.44,0.0
2012-12-31,15.2,$-0.55,0.0
2012-09-30,14.69,$-0.53,0.0
2012-06-30,14.71,$-0.44,0.0
2012-03-31,13.04,$0.16,82.27
2011-12-31,12.8,$0.26,48.32
2011-09-30,12.43,$0.13,95.59
2011-06-30,12.57,$-0.06,0.0
2011-03-31,13.0,$-0.18,0.0
2010-12-31,12.68,$-0.29,0.0
2010-09-30,11.42,$-0.26,0.0
2010-06-30,9.82,$-0.27,0.0
2010-03-31,9.68,$-0.10,0.0
2009-12-31,9.56,$-0.10,0.0
