Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.22,,8.23
2024-06-30,48.3,$5.86,8.25
2024-03-31,50.21,$5.71,8.79
2023-12-31,47.24,$5.97,7.91
2023-09-30,50.52,$7.51,6.73
2023-06-30,42.14,$7.73,5.45
2023-03-31,42.27,$5.81,7.27
2022-12-31,49.78,$5.22,9.54
2022-09-30,45.88,$2.74,16.73
2022-06-30,37.74,$1.87,20.18
2021-12-31,34.42,$3.39,10.14
2021-09-30,32.63,$3.08,10.61
2021-06-30,34.96,$2.68,13.05
2021-03-31,32.28,$2.41,13.37
2020-12-31,26.93,$1.95,13.8
2020-09-30,24.97,$2.11,11.82
2020-06-30,25.82,$1.17,22.01
2020-03-31,19.57,$0.77,25.39
2019-12-31,28.37,$0.45,63.56
2019-09-30,31.94,$0.42,75.43
2019-06-30,29.21,$1.37,21.26
2019-03-31,28.64,$2.05,13.95
2018-12-31,24.32,$2.21,11.0
2018-09-30,26.12,$1.99,13.1
2018-06-30,23.45,$1.65,14.19
2018-03-31,18.65,$0.50,37.54
2017-12-31,18.69,$-1.00,0.0
2017-09-30,17.89,$-2.73,0.0
2017-06-30,19.83,$-4.64,0.0
2017-03-31,19.51,$-5.93,0.0
2016-12-31,17.16,$-6.85,0.0
2016-09-30,17.15,$-14.97,0.0
2016-06-30,17.31,$-13.18,0.0
2016-03-31,16.4,$-11.20,0.0
2015-12-31,14.56,$-9.13,0.0
2015-09-30,14.48,$-8.06,0.0
2015-06-30,16.72,$-8.11,0.0
2015-03-31,16.03,$-8.33,0.0
2014-12-31,16.89,$-8.24,0.0
2014-09-30,17.04,$0.11,156.21
2014-06-30,16.98,$0.21,82.18
2014-03-31,15.22,$0.33,46.26
2013-12-31,14.31,$0.12,118.0
2013-09-30,12.99,$0.30,43.99
2013-06-30,14.52,$-0.03,0.0
2012-12-31,9.99,$-0.20,0.0
2012-09-30,10.53,$-0.02,0.0
2012-06-30,10.24,$-0.34,0.0
2012-03-31,9.49,$-0.13,0.0
2011-12-31,7.88,$0.01,605.82
2013-03-31,13.09,$0.04,324.07
2011-09-30,5.78,$0.09,66.63
2011-06-30,7.49,$0.20,37.68
2011-03-31,7.78,$-0.06,0.0
2010-12-31,8.52,$0.61,13.91
2010-09-30,7.31,$0.97,7.51
2010-06-30,6.52,$1.24,5.27
2010-03-31,6.12,$1.61,3.81
2009-12-31,4.69,$2.02,2.32
2009-09-30,3.41,$3.08,1.11
