Hub Price to Free Cash Flow Ratio Historical Data,Hub Price to Free Cash Flow Ratio Historical Data,Hub Price to Free Cash Flow Ratio Historical Data,Hub Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.22,,47.15
2024-06-30,42.93,$0.94,45.77
2023-12-31,45.57,$4.84,9.41
2023-09-30,38.93,$6.89,5.65
2023-06-30,39.81,$6.85,5.82
2023-03-31,41.61,$6.73,6.19
2022-12-31,39.4,$6.76,5.83
2024-03-31,42.97,$4.46,9.63
2022-09-30,34.19,$3.98,8.59
2022-06-30,35.17,$2.43,14.44
2022-03-31,38.27,$3.26,11.76
2021-12-31,41.76,$2.35,17.76
2021-09-30,34.08,$1.84,18.54
2021-03-31,33.35,$2.67,12.49
2020-12-31,28.26,$0.94,30.12
2020-09-30,24.88,$1.08,22.96
2020-06-30,23.72,$2.24,10.6
2020-03-31,22.54,$1.07,20.97
2019-12-31,25.42,$1.79,14.23
2021-06-30,32.71,$2.47,13.23
2019-09-30,23.05,$1.47,15.64
2019-06-30,20.81,$1.58,13.16
2019-03-31,20.25,$0.90,22.42
2018-12-31,18.38,$0.33,56.01
2018-09-30,22.6,$0.17,129.46
2018-06-30,24.69,$0.74,33.32
2018-03-31,20.75,$0.38,54.69
2017-12-31,23.74,$0.84,28.28
2017-09-30,21.29,$0.40,53.05
2017-06-30,19.01,$-0.21,0.0
2017-03-31,23.0,$-0.06,0.0
2016-12-31,21.69,$-0.04,0.0
2016-09-30,20.2,$0.28,71.55
2016-06-30,19.02,$1.19,16.02
2016-03-31,20.22,$1.50,13.48
2015-12-31,16.33,$1.26,12.92
2015-09-30,18.05,$1.25,14.46
2015-06-30,20.0,$0.71,28.07
2015-03-31,19.48,$0.03,579.65
2014-12-31,18.88,$-0.51,0.0
2014-09-30,20.09,$-0.18,0.0
2014-06-30,24.98,$-0.46,0.0
2013-12-31,19.77,$0.11,175.41
2013-09-30,19.45,$0.93,20.86
2013-06-30,18.05,$0.45,39.94
2013-03-31,19.06,$1.14,16.74
2012-12-31,16.66,$0.88,19.02
2014-03-31,19.82,$0.26,76.1
2012-09-30,14.71,$0.58,25.39
2012-06-30,17.91,$0.42,42.72
2012-03-31,17.86,$0.07,244.66
2011-12-31,16.08,$0.27,58.8
2011-09-30,14.01,$0.13,111.04
2011-06-30,18.67,$-0.08,0.0
2011-03-31,17.94,$0.22,81.73
2010-12-31,17.42,$0.17,99.99
2010-09-30,14.5,$0.25,58.3
2010-06-30,14.88,$0.35,42.12
2010-03-31,13.87,$0.41,33.8
2009-12-31,13.28,$0.55,24.27
