Nurix Therapeutics Price to Free Cash Flow Ratio Historical Data,Nurix Therapeutics Price to Free Cash Flow Ratio Historical Data,Nurix Therapeutics Price to Free Cash Flow Ratio Historical Data,Nurix Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.72,,0.0
2024-08-31,25.2,$-1.36,0.0
2024-05-31,15.75,$-1.74,0.0
2024-02-29,12.35,$-1.53,0.0
2023-11-30,6.22,$-1.65,0.0
2023-08-31,8.5,$-3.05,0.0
2023-05-31,10.12,$-3.01,0.0
2023-02-28,9.43,$-3.45,0.0
2022-11-30,12.39,$-3.54,0.0
2022-08-31,15.73,$-3.37,0.0
2022-05-31,10.09,$-3.32,0.0
2022-02-28,16.17,$-3.32,0.0
2021-11-30,28.82,$-2.10,0.0
2021-08-31,32.19,$-2.60,0.0
2021-05-31,27.9,$-0.90,0.0
