Atkore Price to Free Cash Flow Ratio Historical Data,Atkore Price to Free Cash Flow Ratio Historical Data,Atkore Price to Free Cash Flow Ratio Historical Data,Atkore Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,88.64,,8.64
2024-06-30,134.48,$10.26,13.11
2024-03-31,189.34,$15.58,12.16
2023-12-31,158.83,$17.99,8.83
2023-09-30,148.1,$23.04,6.43
2023-06-30,154.8,$23.12,6.69
2022-12-31,112.59,$16.86,6.68
2022-09-30,77.24,$14.72,5.25
2022-06-30,82.4,$9.09,9.07
2022-03-31,97.72,$7.68,12.72
2021-12-31,110.37,$9.78,11.28
2021-09-30,86.28,$9.08,9.5
2023-03-31,139.45,$8.32,16.76
2021-06-30,70.48,$7.89,8.93
2021-03-31,71.37,$6.75,10.58
2020-12-31,40.81,$5.34,7.64
2020-09-30,22.56,$4.56,4.95
2020-06-30,27.15,$4.33,6.27
2020-03-31,20.92,$3.74,5.6
2019-12-31,40.16,$3.85,10.43
2019-09-30,30.13,$3.66,8.23
2019-06-30,25.68,$2.11,12.15
2019-03-31,21.37,$1.91,11.17
2018-12-31,19.69,$2.06,9.55
2018-09-30,26.34,$1.99,13.24
2018-06-30,20.62,$2.64,7.8
2018-03-31,19.7,$1.87,10.54
2017-12-31,21.29,$1.60,13.34
2017-09-30,19.37,$1.45,13.34
2017-06-30,22.38,$1.84,12.17
2017-03-31,26.09,$2.48,10.53
