Ryanair Holdings Price to Free Cash Flow Ratio Historical Data,Ryanair Holdings Price to Free Cash Flow Ratio Historical Data,Ryanair Holdings Price to Free Cash Flow Ratio Historical Data,Ryanair Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.75,,19.75
2024-06-30,46.15,$2.27,20.37
2024-03-31,57.7,$1.45,39.85
2023-12-31,52.45,$-2.26,0.0
2023-09-30,38.24,$0.92,41.66
2023-06-30,43.5,$2.57,16.93
2022-12-31,29.41,$1.04,28.41
2022-06-30,26.45,$2.55,10.37
2022-03-31,34.27,$1.79,19.16
2021-12-31,40.25,$-1.03,0.0
2021-09-30,43.29,$-1.81,0.0
2021-06-30,42.56,$-3.46,0.0
2021-03-31,45.23,$-5.53,0.0
2020-12-31,43.26,$-3.35,0.0
2020-09-30,32.16,$-1.60,0.0
2020-06-30,26.09,$-0.20,0.0
2020-03-31,20.88,$1.49,14.05
2019-12-31,34.46,$2.92,11.81
2019-09-30,26.11,$2.19,11.94
2019-06-30,25.23,$1.03,24.52
2019-03-31,29.48,$0.94,31.21
2018-12-31,28.06,$0.24,117.65
2018-09-30,37.78,$0.66,57.35
2018-06-30,44.93,$1.51,29.77
2018-03-31,48.32,$1.48,32.58
2017-12-31,40.98,$0.99,41.46
2017-09-30,41.46,$1.01,41.22
2017-06-30,42.33,$0.98,43.05
2017-03-31,32.64,$0.83,39.17
2016-12-31,32.75,$0.44,73.91
2016-09-30,29.51,$0.59,49.87
2016-06-30,27.35,$1.52,17.97
2016-03-31,33.76,$1.68,20.07
2015-12-31,34.01,$2.19,15.52
2015-09-30,30.96,$2.17,14.29
2015-06-30,28.21,$1.31,21.48
2015-03-31,26.4,$1.69,15.65
2014-12-31,27.26,$1.62,16.79
2014-09-30,21.58,$1.39,15.53
2014-06-30,21.34,$1.38,15.42
2014-03-31,22.49,$0.96,23.55
2013-12-31,17.95,$0.84,21.43
2013-09-30,19.02,$1.05,18.04
2013-06-30,19.71,$1.20,16.47
2013-03-31,15.98,$1.30,12.28
2012-12-31,13.11,$2.00,6.56
2012-09-30,11.56,$2.08,5.55
2012-06-30,10.9,$2.14,5.09
2012-03-31,13.01,$2.17,6.0
2011-12-31,9.99,$1.03,9.67
2011-09-30,9.23,$0.85,10.91
2011-06-30,10.52,$0.58,18.11
2011-03-31,9.97,$-0.20,0.0
2010-12-31,11.03,$-0.59,0.0
2010-09-30,11.05,$-0.40,0.0
2010-06-30,8.54,$-0.17,0.0
2010-03-31,8.57,$-0.07,0.0
2009-12-31,8.45,$-0.17,0.0
