Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data,Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data,Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data,Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.64,,0.0
2024-06-30,40.49,$-5.80,0.0
2024-03-31,36.69,$-3.53,0.0
2023-12-31,27.8,$-1.02,0.0
2023-09-30,24.88,$0.50,49.64
2023-06-30,28.35,$3.82,7.43
2023-03-31,28.58,$4.09,6.99
2022-12-31,32.68,$4.17,7.83
2022-09-30,30.91,$3.27,9.45
2022-06-30,26.54,$1.77,15.0
2022-03-31,19.51,$1.81,10.75
2021-12-31,18.16,$1.86,9.77
2021-09-30,19.23,$1.39,13.8
2021-06-30,22.2,$-0.57,0.0
2021-03-31,24.97,$2.12,11.79
2020-12-31,19.45,$0.47,40.98
2020-09-30,19.61,$-0.29,0.0
2020-06-30,16.34,$2.27,7.19
2020-03-31,12.32,$0.59,20.99
2019-12-31,17.7,$2.12,8.36
2019-09-30,21.62,$3.06,7.06
2019-06-30,20.66,$3.06,6.76
2019-03-31,18.1,$2.12,8.55
2018-12-31,16.47,$1.13,14.52
2018-09-30,33.38,$0.67,49.69
2018-06-30,23.74,$0.74,32.14
2018-03-31,19.04,$0.82,23.15
2017-12-31,21.31,$0.76,27.92
2017-09-30,18.29,$0.48,38.15
2017-06-30,13.35,$-0.50,0.0
2017-03-31,12.71,$-0.63,0.0
