Loews Price to Free Cash Flow Ratio Historical Data,Loews Price to Free Cash Flow Ratio Historical Data,Loews Price to Free Cash Flow Ratio Historical Data,Loews Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,81.94,,8.31
2024-06-30,74.68,$9.86,7.57
2024-03-31,78.23,$12.02,6.51
2023-12-31,69.48,$14.14,4.91
2023-09-30,63.15,$14.61,4.32
2023-06-30,59.17,$14.43,4.1
2023-03-31,57.75,$12.09,4.78
2022-12-31,58.0,$10.91,5.32
2022-09-30,49.5,$12.22,4.05
2022-06-30,58.8,$11.27,5.22
2022-03-31,64.25,$9.27,6.93
2021-12-31,57.2,$8.23,6.95
2021-09-30,53.35,$6.67,8.0
2021-06-30,54.0,$5.45,9.91
2021-03-31,50.61,$3.77,13.44
2020-12-31,44.38,$3.92,11.31
2020-09-30,34.21,$3.27,10.47
2020-06-30,33.7,$2.46,13.68
2020-03-31,34.16,$3.56,9.59
2019-12-31,51.42,$2.77,18.57
2019-09-30,50.37,$3.88,12.97
2019-06-30,53.42,$5.55,9.62
2019-03-31,46.78,$9.12,5.13
2018-12-31,44.37,$10.44,4.25
2018-09-30,48.89,$10.23,4.78
2018-06-30,46.94,$7.65,6.14
2018-03-31,48.28,$6.34,7.62
2017-12-31,48.51,$4.85,10.0
2017-09-30,46.35,$4.34,10.68
2017-06-30,45.27,$5.35,8.47
2017-03-31,45.18,$2.50,18.07
2016-12-31,45.17,$3.35,13.49
2016-09-30,39.64,$5.83,6.8
2016-06-30,39.52,$6.35,6.22
2016-03-31,36.74,$6.90,5.33
2015-12-31,36.81,$5.58,6.59
2015-09-30,34.59,$1.92,18.02
2015-06-30,36.8,$2.81,13.1
2015-03-31,38.95,$3.06,12.72
2014-12-31,40.03,$3.31,12.08
2014-09-30,39.63,$4.53,8.75
2014-06-30,41.8,$3.17,13.19
2014-03-31,41.78,$0.53,79.43
2013-12-31,45.69,$1.39,32.89
2013-09-30,44.21,$1.42,31.24
2013-06-30,41.94,$1.64,25.53
2013-03-31,41.57,$3.92,10.61
2012-12-31,38.33,$4.22,9.09
2012-09-30,38.75,$6.39,6.07
2012-06-30,38.36,$6.48,5.92
2012-03-31,37.32,$5.00,7.46
2011-12-31,35.19,$7.04,5.0
2011-09-30,32.24,$1.06,30.52
2011-06-30,39.2,$-1.04,0.0
2011-03-31,40.08,$1.79,22.35
2010-12-31,36.14,$-0.38,0.0
2010-09-30,35.14,$5.92,5.94
2010-06-30,30.83,$6.50,4.74
2010-03-31,34.44,$3.83,8.98
2009-12-31,33.52,$4.95,6.77
