"AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data","AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data","AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data","AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.2,,14.86
2024-06-30,57.15,$4.59,12.45
2024-03-31,54.04,$5.18,10.44
2023-12-31,54.6,$3.95,13.81
2023-09-30,37.86,$3.21,11.81
2023-06-30,39.44,$5.02,7.86
2023-03-31,36.92,$6.20,5.96
2022-09-30,34.23,$6.45,5.3
2022-06-30,35.85,$3.22,11.14
2022-03-31,46.39,$2.57,18.02
2021-12-31,55.91,$0.67,83.74
2021-09-30,51.54,$3.37,15.28
2021-06-30,46.39,$6.64,6.98
2021-03-31,47.01,$6.00,7.84
2020-12-31,37.53,$7.08,5.3
2020-09-30,23.31,$5.21,4.48
2020-06-30,22.08,$4.42,4.99
2020-03-31,18.13,$4.62,3.93
2019-12-31,30.28,$3.26,9.3
2019-09-30,27.65,$2.61,10.58
2019-06-30,27.25,$2.96,9.22
2019-03-31,28.96,$2.46,11.77
2018-12-31,25.18,$3.15,8.0
2018-09-30,34.39,$2.29,15.02
2018-06-30,40.91,$2.43,16.81
2018-03-31,40.53,$2.18,18.55
2017-12-31,29.9,$2.67,11.18
2017-09-30,28.47,$1.05,27.03
2017-06-30,23.72,$0.51,46.68
2017-03-31,26.13,$1.06,24.59
2016-12-31,28.55,$0.24,118.66
2022-12-31,38.22,$2.06,18.59
2016-06-30,17.71,$2.46,7.2
2016-03-31,21.34,$2.28,9.35
2015-12-31,21.05,$2.82,7.45
2015-09-30,32.21,$2.93,11.01
2015-06-30,26.43,$2.30,11.48
2016-09-30,22.4,$2.47,9.08
2015-03-31,23.26,$0.55,42.19
2014-12-31,19.45,$0.26,74.39
2014-09-30,18.18,$1.28,14.16
2014-06-30,18.37,$0.83,22.21
2014-03-31,21.44,$2.10,10.19
2013-09-30,16.2,$1.89,8.59
2013-06-30,11.46,$0.21,53.5
2013-03-31,8.97,$-2.09,0.0
2012-12-31,6.95,$-0.90,0.0
2012-09-30,6.51,$-2.06,0.0
2012-06-30,4.94,$-2.63,0.0
2013-12-31,19.61,$0.62,31.71
2012-03-31,4.27,$-1.08,0.0
2011-12-31,4.06,$0.41,10.03
2011-09-30,3.37,$1.68,2.01
2011-06-30,3.6,$0.02,162.27
2011-03-31,3.88,$0.08,50.99
2010-12-31,3.88,$-0.18,0.0
2010-09-30,2.97,$-0.50,0.0
2010-06-30,3.53,$-0.41,0.0
2010-03-31,3.48,$-0.42,0.0
2009-12-31,2.5,$-0.66,0.0
