UnitedHealth Group Price to Free Cash Flow Ratio Historical Data,UnitedHealth Group Price to Free Cash Flow Ratio Historical Data,UnitedHealth Group Price to Free Cash Flow Ratio Historical Data,UnitedHealth Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,590.2,,87.48
2024-06-30,509.26,$6.75,75.48
2024-03-31,492.59,$11.31,43.57
2023-12-31,522.16,$27.38,19.07
2023-09-30,498.35,$28.26,17.63
2023-06-30,473.22,$40.49,11.69
2023-03-31,463.43,$36.15,12.82
2022-12-31,518.04,$24.64,21.03
2022-09-30,491.96,$33.00,14.91
2022-06-30,498.76,$21.47,23.24
2022-03-31,493.42,$20.12,24.53
2021-12-31,484.39,$20.80,23.28
2021-09-30,375.72,$23.95,15.69
2021-06-30,383.67,$19.31,19.87
2021-03-31,355.16,$24.05,14.77
2020-12-31,333.57,$20.94,15.93
2020-09-30,295.51,$20.89,14.15
2020-06-30,278.41,$21.06,13.22
2020-03-31,234.39,$16.80,13.95
2019-12-31,275.22,$16.97,16.22
2019-09-30,202.67,$13.12,15.44
2019-06-30,226.51,$10.70,21.18
2019-03-31,228.52,$8.63,26.48
2018-12-31,229.37,$13.89,16.52
2018-09-30,244.17,$8.82,27.69
2018-06-30,224.42,$15.56,14.43
2018-03-31,195.07,$13.64,14.3
2017-12-31,200.29,$11.75,17.05
2017-09-30,177.35,$13.00,13.64
2017-06-30,167.27,$12.88,12.99
2017-03-31,147.34,$12.50,11.79
2016-12-31,143.24,$8.36,17.14
2016-09-30,124.81,$13.43,9.29
2016-06-30,125.3,$8.95,14.0
2016-03-31,113.87,$8.46,13.45
2015-12-31,103.49,$8.46,12.23
2015-09-30,101.63,$7.37,13.79
2015-06-30,106.41,$7.71,13.8
2015-03-31,102.75,$7.52,13.67
2014-12-31,87.52,$6.62,13.22
2014-09-30,74.39,$5.18,14.37
2014-06-30,70.21,$5.28,13.29
2014-03-31,70.08,$5.91,11.87
2013-12-31,64.13,$5.56,11.54
2013-09-30,60.76,$6.27,9.69
2013-06-30,55.35,$2.76,20.09
2013-03-31,48.15,$3.40,14.17
2012-12-31,45.47,$5.82,7.82
2012-09-30,46.27,$3.91,11.83
2012-06-30,48.66,$8.79,5.53
2012-03-31,48.84,$7.68,6.36
2011-12-31,41.88,$5.47,7.65
2011-09-30,37.98,$7.03,5.4
2011-06-30,42.33,$5.11,8.28
2011-03-31,36.97,$4.76,7.76
2010-12-31,29.45,$4.77,6.17
2010-09-30,28.54,$4.64,6.15
2010-06-30,23.0,$4.44,5.18
2010-03-31,26.33,$4.29,6.14
2009-12-31,24.57,$4.14,5.93
