Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,109.28,,10.87
2024-05-31,118.81,$10.05,11.82
2024-02-29,143.88,$8.47,16.99
2023-11-30,115.09,$8.84,13.01
2023-08-31,114.12,$7.55,15.12
2023-05-31,89.22,$8.84,10.09
2023-02-28,82.67,$7.24,11.42
2022-11-30,71.81,$5.62,12.77
2022-08-31,59.91,$9.29,6.45
2022-02-28,57.28,$5.72,10.02
2021-11-30,57.85,$4.56,12.69
2021-08-31,61.06,$4.21,14.51
2021-05-31,55.72,$3.39,16.43
2021-02-28,42.55,$3.11,13.67
2020-11-30,37.6,$3.00,12.53
2020-08-31,33.53,$2.97,11.29
2020-05-31,29.31,$5.93,4.94
2020-02-29,31.3,$2.22,14.11
2019-11-30,37.85,$3.28,11.53
2019-08-31,28.02,$2.56,10.95
2019-05-31,23.91,$-2.26,0.0
2019-02-28,27.54,$-5.43,0.0
2018-11-30,24.15,$-7.44,0.0
2018-08-31,28.49,$-10.24,0.0
2018-05-31,27.18,$-22.56,0.0
2018-02-28,25.96,$-17.66,0.0
2017-11-30,27.56,$-15.44,0.0
2017-08-31,29.87,$-10.79,0.0
2017-05-31,28.43,$1.45,19.63
2017-02-28,24.17,$2.28,10.6
2016-11-30,19.98,$0.57,34.82
2016-08-31,19.94,$0.09,213.5
2016-05-31,17.89,$-0.16,0.0
2016-02-29,19.46,$-0.77,0.0
2015-11-30,23.78,$0.98,24.16
2015-08-31,17.92,$1.50,11.98
2015-05-31,22.66,$0.33,69.15
2015-02-28,20.19,$1.17,17.2
2014-11-30,19.0,$0.54,35.13
2014-08-31,19.69,$0.18,108.59
2014-05-31,17.1,$1.27,13.46
2014-02-28,16.75,$1.97,8.51
2013-11-30,18.26,$2.05,8.92
2013-08-31,20.48,$2.37,8.64
2013-05-31,17.94,$2.91,6.16
2013-02-28,16.68,$1.23,13.53
2012-11-30,16.85,$0.57,29.53
2012-08-31,20.11,$0.72,27.77
2012-05-31,16.83,$0.39,43.47
2012-02-29,22.63,$0.23,99.18
2011-11-30,17.71,$2.71,6.54
2011-08-31,14.66,$1.78,8.24
2011-05-31,18.69,$1.60,11.69
2011-02-28,18.5,$0.98,18.9
2010-11-30,13.01,$-0.84,0.0
2010-08-31,8.78,$0.18,48.68
2010-05-31,11.66,$0.11,108.46
2010-02-28,12.86,$0.68,18.92
2009-11-30,11.23,$0.49,23.1
2009-08-31,9.19,$1.33,6.91
