Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,417.14,,42.06
2024-06-30,446.16,$9.92,44.99
2024-03-31,419.23,$9.44,44.41
2023-12-31,374.02,$9.03,41.42
2023-09-30,313.42,$8.47,37.01
2023-06-30,337.31,$7.96,42.38
2023-03-31,284.95,$7.66,37.19
2022-12-31,236.44,$7.94,29.78
2022-09-30,228.97,$3.52,64.97
2022-06-30,251.96,$3.39,74.24
2022-03-31,301.73,$3.30,91.42
2021-12-31,328.46,$1.73,189.83
2021-06-30,263.58,$7.38,35.73
2021-03-31,228.87,$8.66,26.43
2020-12-31,215.42,$8.88,24.27
2020-09-30,203.17,$9.57,21.23
2020-06-30,196.1,$8.61,22.77
2021-09-30,274.83,$6.55,41.93
2020-03-31,151.55,$5.63,26.92
2019-12-31,151.13,$5.26,28.75
2019-09-30,132.79,$4.99,26.59
2019-06-30,127.95,$4.93,25.93
2019-03-31,112.23,$4.34,25.87
2018-12-31,96.24,$4.08,23.6
2018-09-30,107.9,$4.11,26.25
2018-06-30,92.67,$4.14,22.39
2018-03-31,85.4,$4.29,19.91
2017-12-31,79.67,$4.28,18.61
2017-09-30,69.03,$4.14,16.69
2017-06-30,63.54,$4.01,15.86
2017-03-31,60.37,$3.62,16.69
2016-12-31,56.62,$3.49,16.24
2016-09-30,52.14,$3.38,15.43
2016-06-30,46.03,$3.12,14.76
2016-03-31,49.33,$3.01,16.39
2015-12-31,49.21,$3.06,16.09
2015-09-30,38.94,$2.96,13.16
2015-06-30,38.64,$2.87,13.44
2015-03-31,35.35,$3.26,10.83
2014-12-31,40.1,$3.26,12.29
2014-09-30,39.77,$3.24,12.29
2014-06-30,35.56,$3.22,11.05
2014-03-31,34.71,$2.69,12.89
2013-12-31,31.44,$2.66,11.81
2013-09-30,27.76,$2.80,9.91
2013-06-30,28.61,$2.90,9.86
2013-03-31,23.53,$3.26,7.23
2012-12-31,21.79,$3.25,6.7
2012-09-30,24.08,$3.43,7.03
2012-06-30,24.58,$3.45,7.13
2012-03-31,25.75,$3.21,8.01
2011-12-31,20.59,$3.13,6.58
2011-09-30,19.6,$2.94,6.67
2011-06-30,20.34,$2.87,7.09
2011-03-31,19.73,$2.80,7.04
2010-12-31,21.57,$2.65,8.14
2010-09-30,18.81,$2.72,6.91
2010-06-30,17.58,$2.48,7.1
2010-03-31,22.27,$2.26,9.86
2009-12-31,23.07,$2.92,7.91
