CONMED Price to Free Cash Flow Ratio Historical Data,CONMED Price to Free Cash Flow Ratio Historical Data,CONMED Price to Free Cash Flow Ratio Historical Data,CONMED Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.72,,12.75
2024-06-30,69.14,$5.08,13.62
2024-03-31,79.64,$4.50,17.72
2023-12-31,108.64,$3.37,32.24
2023-09-30,99.87,$1.19,84.19
2023-06-30,134.32,$0.50,267.35
2023-03-31,102.51,$0.22,463.0
2022-12-31,87.3,$0.39,226.45
2022-09-30,78.77,$1.87,42.06
2022-06-30,93.89,$1.78,52.85
2022-03-31,145.34,$2.30,63.21
2021-12-31,138.49,$3.01,46.04
2021-09-30,127.62,$2.64,48.38
2021-06-30,133.85,$3.21,41.69
2021-03-31,127.0,$2.33,54.48
2020-12-31,108.75,$1.75,62.19
2020-09-30,76.24,$2.36,32.27
2020-06-30,69.61,$2.34,29.69
2020-03-31,55.22,$2.85,19.38
2019-12-31,107.52,$2.55,42.25
2019-09-30,92.28,$2.05,44.91
2019-06-30,81.96,$0.98,83.68
2019-03-31,79.48,$1.00,79.68
2018-12-31,61.19,$2.01,30.38
2018-09-30,75.28,$1.93,39.09
2018-06-30,69.39,$2.75,25.28
2018-03-31,59.87,$2.61,22.9
2017-12-31,48.03,$2.21,21.77
2017-09-30,49.25,$2.38,20.67
2017-03-31,41.37,$2.05,20.15
2016-12-31,40.94,$0.90,45.56
2016-09-30,36.97,$0.88,42.2
2016-06-30,43.83,$0.45,98.35
2016-03-31,38.33,$0.20,187.17
2015-12-31,40.07,$1.29,31.09
2015-09-30,43.21,$1.78,24.23
2015-06-30,52.54,$1.83,28.78
2015-03-31,45.37,$1.26,35.96
2014-12-31,40.24,$-0.43,0.0
2014-09-30,32.82,$-0.46,0.0
2014-06-30,39.14,$0.05,754.12
2017-06-30,47.63,$0.87,54.76
2013-12-31,37.34,$2.22,16.8
2013-09-30,29.69,$3.55,8.37
2013-06-30,27.18,$3.11,8.75
2013-03-31,29.5,$3.44,8.58
2012-12-31,24.1,$4.11,5.87
2014-03-31,38.35,$2.04,18.78
2012-09-30,24.44,$2.32,10.54
2012-06-30,23.6,$2.64,8.92
2012-03-31,25.33,$2.45,10.34
2011-12-31,21.66,$2.98,7.26
2011-09-30,19.41,$2.90,6.69
2011-06-30,24.03,$1.96,12.23
2011-03-31,22.17,$1.94,11.41
2010-12-31,22.3,$0.81,27.42
2010-09-30,18.91,$-0.02,0.0
2010-06-30,15.72,$-0.00,0.0
2010-03-31,20.09,$-0.41,0.0
2009-12-31,19.24,$0.12,156.39
