AGNC Investment Price to Free Cash Flow Ratio Historical Data,AGNC Investment Price to Free Cash Flow Ratio Historical Data,AGNC Investment Price to Free Cash Flow Ratio Historical Data,AGNC Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.46,,0.0
2024-06-30,9.21,$-0.13,0.0
2024-03-31,9.2,$-0.21,0.0
2023-12-31,8.79,$-0.19,0.0
2023-09-30,8.1,$0.01,0.0
2023-06-30,8.39,$0.51,16.41
2023-03-31,8.04,$1.22,6.57
2022-12-31,7.99,$1.89,4.23
2022-09-30,6.25,$2.44,2.56
2022-06-30,7.95,$2.76,2.88
2022-03-31,9.13,$2.82,3.24
2021-12-31,10.2,$2.91,3.51
2021-09-30,10.46,$2.96,3.54
2021-06-30,10.95,$3.25,3.37
2021-03-31,10.65,$3.33,3.2
2020-12-31,9.7,$3.17,3.06
2020-09-30,8.44,$3.11,2.71
2020-06-30,7.63,$2.51,3.03
2020-03-31,6.09,$2.20,2.77
2019-12-31,9.86,$2.18,4.52
2019-09-30,8.73,$2.18,4.0
2019-06-30,8.85,$2.56,3.46
2019-03-31,9.2,$2.40,3.84
2018-12-31,8.7,$2.52,3.45
2018-09-30,9.06,$2.77,3.27
2018-06-30,8.79,$2.56,3.43
2018-03-31,8.69,$3.07,2.83
2017-12-31,9.01,$3.51,2.57
2017-09-30,9.43,$3.53,2.67
2017-06-30,9.03,$3.95,2.28
2017-03-31,8.22,$4.17,1.97
2016-12-31,7.29,$4.07,1.79
2016-09-30,7.63,$4.13,1.85
2016-06-30,7.52,$3.70,2.03
2016-03-31,6.85,$3.99,1.72
2015-12-31,6.17,$4.10,1.51
2015-09-30,6.43,$4.00,1.61
2015-06-30,6.12,$4.42,1.38
2015-03-31,6.89,$4.41,1.56
2014-12-31,6.84,$4.59,1.49
2014-09-30,6.47,$6.47,1.0
2014-06-30,6.92,$6.69,1.03
2014-03-31,6.18,$6.52,0.95
2013-12-31,5.38,$6.60,0.82
2013-09-30,6.09,$6.38,0.96
2013-06-30,6.0,$6.58,0.91
2013-03-31,8.16,$7.13,1.15
2012-12-31,6.93,$7.64,0.91
2012-09-30,7.96,$10.61,0.75
2012-06-30,7.46,$10.59,0.71
2012-03-31,6.32,$11.38,0.56
2011-12-31,5.77,$10.83,0.53
2011-03-31,5.17,$6.35,0.81
2010-12-31,4.86,$6.38,0.76
2010-09-30,4.29,$7.16,0.6
2010-06-30,4.06,$7.16,0.57
2010-03-31,3.74,$6.78,0.55
2009-12-31,3.68,$4.65,0.79
2009-06-30,2.89,$1.19,2.43
2009-03-31,2.02,$3.49,0.58
