FB Financial Price to Free Cash Flow Ratio Historical Data,FB Financial Price to Free Cash Flow Ratio Historical Data,FB Financial Price to Free Cash Flow Ratio Historical Data,FB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.98,,14.47
2024-06-30,38.88,$3.45,11.26
2024-03-31,37.35,$2.96,12.63
2023-12-31,39.34,$4.12,9.56
2023-09-30,27.87,$3.39,8.21
2023-06-30,27.44,$7.39,3.71
2023-03-31,30.23,$12.39,2.44
2022-12-31,35.01,$16.51,2.12
2022-09-30,36.9,$17.69,2.09
2022-06-30,37.76,$13.75,2.75
2022-03-31,42.63,$10.68,3.99
2021-12-31,41.93,$1.02,41.21
2021-09-30,40.94,$-4.66,0.0
2021-06-30,35.53,$-4.16,0.0
2021-03-31,42.22,$-7.64,0.0
2020-12-31,32.88,$-7.26,0.0
2020-09-30,23.71,$-1.10,0.0
2020-06-30,23.3,$-2.39,0.0
2020-03-31,18.48,$-2.41,0.0
2019-12-31,37.01,$1.86,19.91
2019-09-30,35.03,$1.63,21.44
2019-06-30,34.07,$3.74,9.1
2019-03-31,29.5,$6.01,4.91
2018-12-31,32.45,$6.49,5.0
2018-09-30,36.22,$4.09,8.86
2018-06-30,37.59,$0.96,39.21
2018-03-31,37.42,$-3.32,0.0
2017-12-31,38.71,$1.17,32.98
2017-09-30,34.77,$0.91,38.23
2017-06-30,33.36,$-10.42,0.0
