TriCo Bancshares Price to Free Cash Flow Ratio Historical Data,TriCo Bancshares Price to Free Cash Flow Ratio Historical Data,TriCo Bancshares Price to Free Cash Flow Ratio Historical Data,TriCo Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.7,,11.21
2024-06-30,39.27,$4.08,9.63
2024-03-31,36.17,$3.61,10.02
2023-12-31,41.87,$4.02,10.42
2023-09-30,30.97,$4.69,6.6
2023-06-30,31.8,$4.39,7.25
2023-03-31,39.53,$4.85,8.16
2022-12-31,48.15,$5.07,9.49
2022-09-30,41.92,$4.37,9.58
2022-06-30,42.58,$4.65,9.15
2022-03-31,37.13,$4.39,8.45
2021-12-31,39.61,$4.41,8.98
2021-09-30,39.78,$4.54,8.76
2021-06-30,38.79,$3.67,10.57
2021-03-31,42.92,$4.02,10.67
2020-12-31,31.81,$3.73,8.53
2020-09-30,21.94,$3.38,6.49
2020-06-30,27.05,$4.28,6.32
2020-03-31,26.28,$3.63,7.25
2019-12-31,35.67,$3.21,11.1
2019-09-30,31.56,$3.71,8.5
2019-06-30,32.66,$2.90,11.28
2019-03-31,33.79,$2.86,11.83
2018-12-31,28.92,$3.11,9.29
2018-09-30,32.88,$2.02,16.3
2018-06-30,31.74,$2.04,15.58
2018-03-31,31.41,$1.92,16.35
2017-12-31,31.81,$1.87,16.98
2017-09-30,34.09,$2.03,16.76
2017-06-30,29.26,$2.13,13.72
2017-03-31,29.44,$2.71,10.86
2016-12-31,28.21,$1.69,16.71
2016-09-30,21.99,$1.64,13.4
2016-06-30,22.55,$1.72,13.11
2016-03-31,20.58,$1.47,14.04
2015-12-31,22.17,$2.15,10.33
2015-09-30,19.75,$1.98,9.98
2015-06-30,19.23,$1.78,10.81
2015-03-31,19.19,$1.15,16.63
2014-12-31,19.55,$1.28,15.32
2014-09-30,17.83,$1.47,12.11
2014-06-30,18.15,$1.84,9.85
2014-03-31,20.24,$2.10,9.64
2013-12-31,22.05,$2.02,10.89
2013-09-30,17.63,$2.75,6.41
2013-06-30,16.43,$1.65,9.94
2013-03-31,13.1,$2.09,6.26
2012-12-31,12.77,$2.57,4.96
2012-09-30,12.53,$1.99,6.31
2012-06-30,11.61,$2.48,4.68
2012-03-31,13.06,$2.19,5.96
2011-12-31,10.6,$1.77,5.99
2011-09-30,9.09,$2.24,4.05
2011-06-30,10.75,$2.65,4.05
2011-03-31,11.93,$3.00,3.98
2010-12-31,11.74,$3.00,3.91
2010-09-30,11.1,$1.79,6.22
2010-06-30,12.15,$1.60,7.6
2010-03-31,14.21,$1.38,10.3
2009-12-31,11.81,$1.46,8.11
