Andersons Price to Free Cash Flow Ratio Historical Data,Andersons Price to Free Cash Flow Ratio Historical Data,Andersons Price to Free Cash Flow Ratio Historical Data,Andersons Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.32,,2.5
2024-06-30,49.22,$19.74,2.49
2024-03-31,56.93,$26.16,2.18
2023-12-31,56.91,$23.35,2.44
2023-09-30,50.78,$28.96,1.75
2023-06-30,45.33,$31.21,1.45
2023-03-31,40.43,$26.96,1.5
2022-12-31,34.08,$5.50,6.19
2022-09-30,30.06,$-11.84,0.0
2022-06-30,31.78,$-17.17,0.0
2022-03-31,48.15,$-21.59,0.0
2021-12-31,36.95,$-3.23,0.0
2021-09-30,29.29,$-6.12,0.0
2021-06-30,28.68,$-15.15,0.0
2021-03-31,25.72,$-10.57,0.0
2020-12-31,22.88,$-4.76,0.0
2020-09-30,17.77,$2.73,6.51
2020-06-30,12.48,$11.90,1.05
2020-03-31,17.0,$0.74,22.98
2019-12-31,22.71,$3.07,7.4
2019-09-30,20.01,$-2.49,0.0
2019-06-30,24.12,$-12.49,0.0
2019-03-31,28.36,$0.10,290.86
2018-12-31,26.16,$-9.34,0.0
2018-09-30,32.95,$-5.05,0.0
2018-06-30,29.8,$-1.83,0.0
2018-03-31,28.71,$-8.80,0.0
2017-12-31,26.88,$-2.31,0.0
2017-09-30,29.4,$-3.74,0.0
2017-06-30,29.18,$2.67,10.94
2017-03-31,32.23,$-0.80,0.0
2016-12-31,37.85,$-2.35,0.0
2016-09-30,30.53,$4.12,7.42
2016-06-30,29.85,$-3.10,0.0
2016-03-31,26.27,$2.05,12.84
2015-12-31,26.32,$1.54,17.1
2015-09-30,28.2,$-7.53,0.0
2015-06-30,32.16,$1.47,21.94
2015-03-31,33.99,$2.46,13.82
2014-12-31,43.52,$-4.44,0.0
2014-09-30,51.36,$8.40,6.12
2014-06-30,42.06,$3.44,12.22
2014-03-31,48.2,$5.51,8.75
2013-12-31,48.27,$10.48,4.61
2013-09-30,37.77,$19.48,1.94
2013-06-30,28.68,$14.02,2.05
2013-03-31,28.77,$4.11,7.0
2012-12-31,22.99,$8.56,2.69
2012-09-30,20.11,$-5.51,0.0
2012-06-30,22.68,$-2.03,0.0
2012-03-31,25.8,$7.76,3.32
2011-12-31,23.06,$7.64,3.02
2011-09-30,17.7,$2.66,6.67
2011-06-30,22.17,$-11.68,0.0
2011-03-31,25.5,$-15.20,0.0
2010-12-31,18.98,$-9.60,0.0
2010-09-30,19.73,$-6.60,0.0
2010-06-30,16.93,$4.48,3.78
2010-03-31,17.34,$4.88,3.55
2009-12-31,13.34,$5.36,2.49
