Towne Bank Price to Free Cash Flow Ratio Historical Data,Towne Bank Price to Free Cash Flow Ratio Historical Data,Towne Bank Price to Free Cash Flow Ratio Historical Data,Towne Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.44,,14.92
2024-06-30,27.07,$2.38,11.39
2024-03-31,27.6,$2.42,11.41
2023-12-31,29.01,$1.59,18.3
2023-09-30,22.17,$1.98,11.2
2023-06-30,22.22,$2.84,7.83
2023-03-31,25.22,$4.56,5.53
2022-12-31,28.94,$6.49,4.46
2022-09-30,24.99,$8.80,2.84
2022-03-31,27.42,$7.91,3.47
2021-12-31,28.75,$6.77,4.25
2021-09-30,28.13,$3.36,8.37
2021-06-30,27.33,$4.80,5.7
2021-03-31,27.14,$3.77,7.21
2020-12-31,20.83,$1.23,16.98
2022-06-30,25.08,$3.08,8.15
2020-09-30,14.44,$-0.54,0.0
2020-06-30,16.41,$-0.83,0.0
2020-03-31,15.6,$-0.76,0.0
2019-12-31,23.74,$-0.36,0.0
2019-09-30,23.58,$1.35,17.43
2019-06-30,22.98,$2.43,9.44
2019-03-31,20.71,$3.29,6.29
2018-12-31,19.92,$4.17,4.77
2018-09-30,25.48,$2.01,12.67
2018-06-30,26.38,$2.69,9.81
2018-03-31,23.38,$0.78,29.88
2017-12-31,25.02,$2.06,12.17
2017-09-30,27.14,$3.59,7.57
2017-06-30,24.85,$2.97,8.36
2017-03-31,26.02,$4.75,5.47
2016-12-31,26.59,$2.97,8.94
2016-09-30,19.14,$2.43,7.89
2016-06-30,17.15,$1.07,16.1
2016-03-31,15.11,$1.87,8.06
2015-12-31,16.33,$1.18,13.79
2015-09-30,14.66,$0.57,25.88
2015-06-30,12.59,$0.93,13.54
2015-03-31,12.34,$0.93,13.27
2014-12-31,11.53,$0.93,12.39
2014-09-30,10.28,0,0.0
2014-06-30,11.8,0,0.0
2014-03-31,11.57,0,0.0
2013-12-31,11.41,0,0.0
2013-09-30,10.62,0,0.0
2013-06-30,10.76,0,0.0
2013-03-31,10.88,0,0.0
2009-12-31,7.65,0,0.0
2009-09-30,8.29,0,0.0
2009-06-30,9.05,0,0.0
2009-03-31,10.49,0,0.0
2012-03-31,9.3,0,0.0
2011-12-31,8.39,0,0.0
2011-09-30,7.74,0,0.0
2011-06-30,9.05,0,0.0
2011-03-31,10.53,0,0.0
2010-12-31,10.63,0,0.0
2010-09-30,9.96,0,0.0
2010-06-30,9.61,0,0.0
2010-03-31,9.19,0,0.0
