FirstService Price to Free Cash Flow Ratio Historical Data,FirstService Price to Free Cash Flow Ratio Historical Data,FirstService Price to Free Cash Flow Ratio Historical Data,FirstService Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,188.1,,38.23
2024-06-30,152.37,$4.92,30.97
2024-03-31,165.8,$4.09,40.53
2023-12-31,162.09,$4.35,37.24
2023-09-30,145.54,$3.00,48.58
2023-06-30,154.09,$0.96,160.51
2023-03-31,140.99,$0.49,289.63
2022-12-31,122.55,$0.64,192.78
2022-09-30,119.01,$0.29,415.25
2022-06-30,121.2,$1.31,92.22
2022-03-31,144.64,$1.81,79.82
2021-12-31,195.87,$2.46,79.74
2021-09-30,179.76,$4.18,42.96
2021-06-30,170.4,$4.53,37.64
2021-03-31,147.29,$5.57,26.46
2020-12-31,135.93,$5.84,23.26
2020-09-30,130.93,$4.56,28.7
2020-06-30,99.89,$4.06,24.59
2020-03-31,76.34,$1.78,42.79
2019-12-31,91.9,$1.58,58.07
2019-09-30,101.15,$0.97,104.41
2019-06-30,94.45,$1.43,66.04
2019-03-31,87.83,$2.05,42.8
2018-12-31,67.21,$1.61,41.76
2018-09-30,82.93,$2.21,37.55
2018-06-30,74.36,$2.11,35.28
2018-03-31,71.44,$2.18,32.84
2017-12-31,68.13,$2.17,31.38
2017-09-30,63.92,$2.48,25.74
2017-06-30,62.12,$3.11,19.98
2017-03-31,58.43,$3.09,18.91
2016-12-31,45.92,$3.00,15.29
2016-09-30,45.04,$2.05,22.0
2016-06-30,44.12,$1.71,25.82
2016-03-31,39.31,$1.69,23.22
