ScanSource Price to Free Cash Flow Ratio Historical Data,ScanSource Price to Free Cash Flow Ratio Historical Data,ScanSource Price to Free Cash Flow Ratio Historical Data,ScanSource Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.72,,3.45
2024-06-30,44.31,$14.40,3.08
2024-03-31,44.04,$11.43,3.85
2023-12-31,39.61,$7.31,5.42
2023-09-30,30.31,$3.75,8.08
2023-06-30,29.56,$-1.80,0.0
2023-03-31,30.44,$-4.26,0.0
2022-12-31,29.22,$-5.20,0.0
2022-09-30,26.41,$-4.77,0.0
2022-06-30,31.14,$-5.09,0.0
2022-03-31,34.79,$0.51,68.2
2021-12-31,35.08,$-3.01,0.0
2021-09-30,34.79,$-0.55,0.0
2021-06-30,28.13,$4.48,6.27
2021-03-31,29.95,$5.00,5.99
2020-12-31,26.38,$8.25,3.2
2020-09-30,19.83,$8.66,2.29
2020-06-30,24.09,$6.92,3.48
2020-03-31,21.39,$5.78,3.7
2019-12-31,36.95,$5.79,6.38
2019-09-30,30.55,$1.26,24.32
2019-06-30,32.56,$0.40,81.87
2019-03-31,35.82,$0.03,1388.37
2018-12-31,34.38,$2.25,15.28
2018-09-30,39.9,$2.65,15.05
2018-06-30,40.3,$0.95,42.24
2018-03-31,35.55,$-0.14,0.0
2017-12-31,35.8,$-1.44,0.0
2017-09-30,43.65,$1.69,25.79
2017-06-30,40.3,$3.37,11.95
2017-03-31,39.25,$3.98,9.87
2016-12-31,40.35,$4.42,9.13
2016-09-30,36.5,$3.75,9.73
2016-06-30,37.11,$1.50,24.68
2016-03-31,40.38,$2.23,18.07
2015-12-31,32.22,$1.08,29.78
2015-09-30,35.46,$0.05,723.67
2015-06-30,38.06,$1.90,20.02
2015-03-31,40.65,$0.63,64.8
2014-12-31,40.16,$0.43,93.33
2014-09-30,34.59,$-0.56,0.0
2014-06-30,38.08,$1.28,29.85
2014-03-31,40.77,$2.80,14.56
2013-12-31,42.43,$4.96,8.56
2013-09-30,34.59,$6.05,5.72
2013-06-30,32.0,$4.45,7.19
2013-03-31,28.22,$3.72,7.59
2012-12-31,31.77,$2.25,14.13
2012-09-30,32.02,$3.02,10.61
2012-06-30,30.64,$1.70,18.03
2012-03-31,37.32,$0.81,46.2
2011-12-31,36.0,$0.25,141.23
2011-09-30,29.56,$-0.68,0.0
2011-06-30,37.48,$-0.15,0.0
2011-03-31,37.99,$-0.25,0.0
2010-12-31,31.9,$-1.63,0.0
2010-09-30,27.74,$-2.40,0.0
2010-06-30,24.93,$-3.12,0.0
2010-03-31,28.78,$-2.83,0.0
2009-12-31,26.7,$2.38,11.24
