Orion S.A Price to Free Cash Flow Ratio Historical Data,Orion S.A Price to Free Cash Flow Ratio Historical Data,Orion S.A Price to Free Cash Flow Ratio Historical Data,Orion S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.69,,0.0
2024-06-30,21.92,$-1.72,0.0
2023-12-31,27.65,$2.89,9.58
2023-09-30,21.21,$0.28,74.53
2023-06-30,21.13,$-0.17,0.0
2023-03-31,25.95,$-1.58,0.0
2022-12-31,17.7,$-4.22,0.0
2024-03-31,23.48,$-3.01,0.0
2022-09-30,13.25,$-4.27,0.0
2022-06-30,15.4,$-4.20,0.0
2022-03-31,15.81,$-1.98,0.0
2021-12-31,18.13,$-1.14,0.0
2021-09-30,18.0,$0.26,68.56
2021-06-30,18.76,$0.10,183.52
2021-03-31,19.48,$0.01,1693.59
2020-12-31,16.93,$-0.32,0.0
2020-09-30,12.36,$0.01,0.0
2020-06-30,10.46,$1.04,10.09
2020-03-31,7.37,$0.06,127.91
2019-12-31,18.73,$1.23,15.17
2019-09-30,16.05,$1.15,13.93
2019-06-30,20.32,$0.65,31.11
2019-03-31,17.84,$1.66,10.76
2018-12-31,23.53,$1.15,20.38
2018-09-30,29.64,$0.84,35.11
2018-06-30,28.31,$1.16,24.44
2018-03-31,24.72,$0.87,28.48
2017-12-31,23.18,$0.95,24.48
2017-09-30,20.17,$1.50,13.46
2017-06-30,17.92,$1.76,10.17
2017-03-31,18.22,$1.80,10.1
2016-12-31,16.75,$2.48,6.75
2016-09-30,16.65,$2.82,5.9
2016-06-30,14.12,$2.58,5.48
2016-03-31,12.55,$2.30,5.46
2015-12-31,11.2,$3.03,3.69
2015-09-30,12.66,$4.26,2.97
2015-06-30,15.97,$5.54,2.88
