Orange Price to Free Cash Flow Ratio Historical Data,Orange Price to Free Cash Flow Ratio Historical Data,Orange Price to Free Cash Flow Ratio Historical Data,Orange Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.15,,inf
2023-12-31,10.99,0.0,0.0
2023-06-30,10.9,0.0,0.0
2022-12-31,8.92,0.0,0.0
2022-06-30,10.31,0.0,0.0
2021-12-31,8.92,0.0,0.0
2021-06-30,9.35,0.0,0.0
2020-12-31,9.24,0.0,0.0
2020-06-30,8.92,0.0,0.0
2019-12-31,10.75,0.0,0.0
2019-06-30,11.35,0.0,0.0
2018-12-31,11.35,0.0,0.0
2018-06-30,11.51,0.0,0.0
2017-12-31,11.69,0.0,0.0
2017-06-30,10.55,0.0,0.0
2016-12-31,9.73,0.0,0.0
2016-06-30,10.4,0.0,0.0
2015-12-31,10.24,0.0,0.0
2015-06-30,9.34,0.0,0.0
2014-12-31,10.0,0.0,0.0
2014-06-30,9.21,0.0,0.0
2013-12-31,6.9,0.0,0.0
2013-06-30,5.11,0.0,0.0
2013-03-31,5.36,0.0,0.0
2012-12-31,5.83,0.0,0.0
2012-09-30,6.44,0.0,0.0
2012-06-30,6.56,0.0,0.0
2012-03-31,6.82,0.0,0.0
2011-12-31,7.2,0.0,0.0
2010-06-30,6.92,0.0,0.0
2009-12-31,9.54,0.0,0.0
