Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,74.88,,18.89
2024-06-30,68.66,$3.96,17.33
2024-03-31,62.49,$3.32,18.84
2023-12-31,59.91,$3.03,19.8
2023-09-30,56.89,$2.53,22.47
2023-06-30,63.22,$3.96,15.98
2023-03-31,56.9,$5.10,11.16
2022-12-31,55.29,$4.44,12.47
2022-09-30,62.34,$4.40,14.18
2022-06-30,66.37,$2.78,23.87
2022-03-31,81.92,$2.16,37.96
2021-12-31,81.87,$2.31,35.44
2021-09-30,72.72,$3.02,24.12
2021-06-30,68.69,$3.21,21.38
2021-03-31,63.42,$4.00,15.87
2020-12-31,52.05,$5.04,10.33
2020-09-30,44.62,$4.45,10.03
2020-06-30,50.52,$4.09,12.35
2020-03-31,52.48,$3.22,16.3
2019-12-31,68.07,$1.61,42.17
2019-09-30,72.06,$1.50,47.94
2019-06-30,63.0,$1.66,37.9
2019-03-31,62.04,$1.34,46.43
2018-12-31,53.96,$2.59,20.87
2018-09-30,54.17,$2.62,20.65
2018-06-30,51.65,$2.03,25.47
2018-03-31,49.55,$2.55,19.46
2017-12-31,50.81,$1.84,27.64
2017-09-30,52.12,$2.52,20.69
2017-06-30,51.64,$3.36,15.38
2017-03-31,48.45,$3.07,15.77
2016-12-31,49.72,$18.56,2.68
2016-09-30,49.3,$17.17,2.87
2016-06-30,50.06,$17.06,2.93
2016-03-31,54.12,$17.14,3.16
2015-12-31,52.34,$1.81,28.87
2015-09-30,47.86,$2.83,16.89
2015-06-30,44.37,$2.87,15.48
2015-03-31,48.86,$2.43,20.09
2014-12-31,44.77,$1.73,25.81
2014-09-30,38.12,$1.21,31.5
2014-06-30,38.68,$3.01,12.85
2014-03-31,35.32,$4.57,7.73
2013-12-31,31.32,$13.53,2.31
2013-09-30,31.94,$14.54,2.2
2013-06-30,34.38,$12.75,2.7
2013-03-31,32.35,$11.27,2.87
2012-12-31,33.06,$2.84,11.63
2012-09-30,33.1,$-0.30,0.0
2012-06-30,35.68,$-0.32,0.0
2012-03-31,35.63,$1.73,20.58
2011-12-31,32.27,$1.99,16.2
2011-09-30,29.05,$5.70,5.1
2011-06-30,33.41,$4.15,8.05
2011-03-31,31.23,$1.73,18.09
2010-12-31,28.58,$-0.22,0.0
2010-09-30,25.93,$-1.81,0.0
2010-06-30,22.55,$0.57,39.49
2010-03-31,21.04,$1.75,12.06
2009-12-31,18.0,$3.38,5.32
