Pebblebrook Hotel Trust Price to Free Cash Flow Ratio Historical Data,Pebblebrook Hotel Trust Price to Free Cash Flow Ratio Historical Data,Pebblebrook Hotel Trust Price to Free Cash Flow Ratio Historical Data,Pebblebrook Hotel Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.69,,8.14
2024-06-30,13.74,$1.56,8.82
2024-03-31,15.39,$1.70,9.03
2023-12-31,15.95,$2.88,5.54
2023-09-30,13.55,$2.22,6.11
2023-06-30,13.89,$3.70,3.75
2023-03-31,13.98,$4.15,3.37
2022-12-31,13.32,$3.15,4.23
2022-09-30,14.43,$3.29,4.38
2022-06-30,16.47,$1.97,8.34
2022-03-31,24.31,$2.13,11.42
2021-12-31,22.21,$1.86,11.96
2021-09-30,22.24,$1.35,16.45
2021-06-30,23.36,$0.23,102.22
2021-03-31,24.08,$-1.84,0.0
2020-12-31,18.63,$0.37,50.34
2020-09-30,12.41,$1.36,9.12
2020-06-30,13.52,$3.21,4.21
2020-03-31,10.77,$5.42,1.99
2019-12-31,26.49,$5.32,4.98
2019-09-30,27.1,$4.22,6.42
2019-06-30,27.08,$3.25,8.33
2019-03-31,29.45,$2.62,11.25
2018-12-31,26.52,$1.00,26.45
2018-09-30,33.67,$1.96,17.2
2018-06-30,35.55,$1.93,18.43
2018-03-31,31.16,$4.70,6.63
2017-12-31,33.35,$4.55,7.33
2017-09-30,32.11,$8.06,3.98
2017-06-30,28.34,$7.98,3.55
2017-03-31,25.39,$6.73,3.77
2016-12-31,25.52,$6.71,3.8
2016-09-30,22.52,$3.39,6.64
2016-06-30,21.91,$3.48,6.3
2016-03-31,23.89,$1.81,13.22
2015-12-31,22.73,$1.63,13.98
2015-09-30,28.45,$1.40,20.35
2015-06-30,34.11,$1.50,22.77
2015-03-31,36.78,$1.54,23.9
2014-12-31,35.8,$1.62,22.05
2014-09-30,29.15,$1.68,17.36
2014-06-30,28.68,$1.51,19.02
2014-03-31,26.04,$1.28,20.39
2013-12-31,23.56,$1.11,21.21
2013-09-30,21.87,$0.90,24.39
2013-06-30,19.59,$0.58,33.61
2013-03-31,19.42,$0.47,41.71
2012-12-31,17.29,$0.36,48.44
2012-09-30,17.42,$0.35,49.83
2012-06-30,17.27,$0.36,48.02
2012-03-31,16.64,$0.55,30.38
2011-12-31,14.06,$0.16,90.42
2011-09-30,11.4,$-0.15,0.0
2011-06-30,14.59,$-0.01,0.0
2011-03-31,15.91,$-0.78,0.0
2010-12-31,14.52,$-0.19,0.0
2010-09-30,12.79,$-0.00,0.0
