Commercial Metals Price to Free Cash Flow Ratio Historical Data,Commercial Metals Price to Free Cash Flow Ratio Historical Data,Commercial Metals Price to Free Cash Flow Ratio Historical Data,Commercial Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.41,,12.1
2024-05-31,56.13,$4.66,12.04
2024-02-29,53.65,$5.57,9.64
2023-11-30,44.9,$5.85,7.67
2023-08-31,55.54,$6.23,8.92
2023-05-31,42.05,$6.66,6.31
2023-02-28,50.74,$5.49,9.24
2022-11-30,48.11,$6.98,6.89
2022-08-31,39.46,$4.62,8.54
2022-05-31,38.54,$2.78,13.88
2022-02-28,37.27,$2.53,14.75
2021-11-30,29.76,$0.63,47.17
2021-08-31,31.28,$0.58,53.95
2021-05-31,30.06,$1.63,18.42
2021-02-28,23.93,$3.15,7.59
2020-11-30,18.84,$3.79,4.97
2020-08-31,19.63,$5.12,3.84
2020-05-31,16.04,$5.19,3.09
2020-02-29,16.93,$4.11,4.12
2019-11-30,19.7,$3.42,5.77
2019-08-31,14.37,$-0.82,0.0
2019-05-31,12.16,$-3.70,0.0
2019-02-28,14.97,$-6.20,0.0
2018-11-30,17.3,$-6.88,0.0
2018-08-31,19.28,$-5.08,0.0
2018-05-31,20.98,$-9.00,0.0
2018-02-28,21.43,$-7.98,0.0
2017-11-30,17.42,$-7.39,0.0
2017-08-31,16.48,$-6.25,0.0
2017-05-31,15.69,$-1.03,0.0
2017-02-28,18.21,$0.66,27.52
2016-11-30,18.85,$1.50,12.57
2016-08-31,13.2,$3.68,3.59
2016-05-31,14.5,$5.33,2.72
2016-02-29,12.32,$5.65,2.18
2015-11-30,12.29,$4.42,2.78
2015-08-31,12.94,$1.77,7.31
2015-05-31,13.14,$0.10,126.76
2015-02-28,12.22,$-1.14,0.0
2014-11-30,13.15,$-0.93,0.0
2014-08-31,13.8,$0.44,31.03
2014-05-31,14.08,$0.98,14.41
2014-02-28,15.25,$1.41,10.82
2013-11-30,15.22,$1.60,9.54
2013-08-31,11.59,$0.62,18.62
2013-05-31,11.91,$0.56,21.34
2013-02-28,12.49,$0.50,25.08
2012-11-30,10.3,$0.59,17.35
2012-08-31,9.6,$1.18,8.15
2012-05-31,8.72,$0.99,8.85
2012-02-29,9.84,$-0.10,0.0
2011-11-30,10.26,$-0.10,0.0
2011-08-31,8.53,$0.07,124.89
2011-05-31,10.72,$-0.14,0.0
2011-02-28,11.92,$0.24,49.21
2010-11-30,10.91,$-0.10,0.0
2010-08-31,9.17,$-0.52,0.0
2010-05-31,10.86,$-0.30,0.0
2010-02-28,11.35,$2.46,4.62
2009-11-30,10.92,$3.73,2.93
