Viavi Solutions Price to Free Cash Flow Ratio Historical Data,Viavi Solutions Price to Free Cash Flow Ratio Historical Data,Viavi Solutions Price to Free Cash Flow Ratio Historical Data,Viavi Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.33,,20.71
2024-06-30,6.87,$0.45,15.25
2024-03-31,9.09,$0.42,21.58
2023-12-31,10.07,$0.38,26.29
2023-09-30,9.14,$0.44,20.59
2023-06-30,11.33,$0.30,37.7
2023-03-31,10.83,$0.48,22.6
2022-12-31,10.51,$0.49,21.54
2022-09-30,13.05,$0.37,35.65
2022-06-30,13.23,$0.48,27.31
2022-03-31,16.08,$0.40,39.73
2021-12-31,17.62,$0.51,34.49
2021-09-30,15.74,$0.76,20.84
2021-06-30,17.66,$0.83,21.37
2021-03-31,15.7,$0.71,22.19
2020-12-31,14.98,$0.69,21.63
2020-09-30,11.73,$0.58,20.31
2020-06-30,12.74,$0.44,28.84
2020-03-31,11.21,$0.48,23.16
2019-12-31,15.0,$0.47,31.97
2019-09-30,14.01,$0.46,30.37
2019-06-30,13.29,$0.43,30.97
2019-03-31,12.38,$0.36,34.28
2018-12-31,10.05,$0.24,42.09
2018-09-30,11.34,$0.19,58.79
2018-06-30,10.24,$0.13,79.38
2018-03-31,9.72,$0.23,42.82
2017-12-31,8.74,$0.29,30.15
2017-09-30,9.46,$0.25,37.2
2017-06-30,10.53,$0.26,40.08
2017-03-31,10.72,$0.25,43.3
2016-12-31,8.18,$0.31,26.65
2016-09-30,7.39,$0.23,32.14
2016-06-30,6.63,$0.15,44.59
