Kiniksa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Kiniksa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Kiniksa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Kiniksa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.75,,63.12
2024-06-30,18.67,$0.42,44.05
2024-03-31,19.73,$0.30,65.79
2023-12-31,17.54,$0.18,95.79
2023-09-30,17.37,$-0.04,0.0
2023-06-30,14.08,$0.61,22.91
2023-03-31,10.76,$0.55,19.43
2022-12-31,14.98,$0.08,182.02
2022-09-30,12.84,$-0.04,0.0
2022-06-30,9.69,$-1.34,0.0
2022-03-31,9.94,$-1.79,0.0
2021-12-31,11.77,$-1.85,0.0
2021-09-30,11.39,$-2.33,0.0
2021-06-30,13.93,$-2.31,0.0
2021-03-31,18.51,$-2.22,0.0
2020-12-31,17.67,$-2.21,0.0
2020-09-30,15.32,$-1.97,0.0
2020-06-30,25.48,$-2.11,0.0
2020-03-31,15.48,$-2.32,0.0
2019-12-31,11.06,$-2.99,0.0
2019-09-30,8.51,$-4.26,0.0
2019-06-30,13.54,$-3.05,0.0
2019-03-31,18.06,$-4.17,0.0
