ImmunityBio Price to Free Cash Flow Ratio Historical Data,ImmunityBio Price to Free Cash Flow Ratio Historical Data,ImmunityBio Price to Free Cash Flow Ratio Historical Data,ImmunityBio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.44,,0.0
2024-06-30,6.32,$-0.67,0.0
2024-03-31,5.37,$-0.73,0.0
2023-12-31,5.02,$-0.78,0.0
2023-09-30,1.69,$-0.82,0.0
2023-06-30,2.78,$-0.93,0.0
2023-03-31,1.82,$-1.00,0.0
2022-12-31,5.07,$-1.04,0.0
2022-09-30,4.97,$-0.98,0.0
2022-06-30,3.72,$-0.89,0.0
2022-03-31,5.61,$-0.82,0.0
2021-12-31,6.08,$-0.74,0.0
2021-09-30,9.74,$-0.68,0.0
2021-06-30,14.28,$-0.63,0.0
2021-03-31,23.74,$-0.55,0.0
2020-12-31,13.33,$-0.46,0.0
2020-09-30,6.94,$-0.22,0.0
2020-06-30,12.28,$-0.30,0.0
2020-03-31,2.88,$-0.32,0.0
2019-12-31,3.79,$-0.43,0.0
2019-09-30,1.22,$-0.71,0.0
2019-06-30,1.02,$-0.80,0.0
2019-03-31,1.58,$-0.89,0.0
2018-12-31,1.16,$-0.96,0.0
2018-09-30,3.7,$-1.06,0.0
2018-06-30,3.06,$-1.07,0.0
2018-03-31,3.89,$-1.12,0.0
2017-12-31,4.49,$-1.04,0.0
2017-09-30,5.48,$-0.89,0.0
2017-06-30,7.59,$-0.78,0.0
2017-03-31,3.55,$-0.61,0.0
2016-12-31,5.72,$-0.55,0.0
2016-09-30,7.78,$-0.59,0.0
2016-06-30,6.22,$-0.62,0.0
