Avis Budget Price to Free Cash Flow Ratio Historical Data,Avis Budget Price to Free Cash Flow Ratio Historical Data,Avis Budget Price to Free Cash Flow Ratio Historical Data,Avis Budget Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.26,,0.92
2024-06-30,104.52,$87.68,1.19
2024-03-31,122.46,$87.50,1.4
2023-12-31,177.26,$91.62,1.93
2023-09-30,170.82,$90.26,1.89
2023-06-30,217.38,$88.26,2.46
2023-03-31,185.18,$90.97,2.04
2022-12-31,155.84,$92.17,1.69
2022-09-30,141.13,$91.07,1.55
2022-06-30,139.82,$80.19,1.74
2022-03-31,250.3,$66.93,3.74
2021-12-31,197.13,$51.18,3.85
2021-09-30,110.76,$39.09,2.83
2021-06-30,74.04,$21.71,3.41
2021-03-31,68.96,$8.62,8.0
2020-12-31,35.46,$8.47,4.19
2020-09-30,25.02,$15.64,1.6
2020-06-30,21.76,$23.87,0.91
2020-03-31,13.21,$30.29,0.44
2019-12-31,30.65,$30.86,0.99
2019-09-30,26.86,$28.47,0.94
2019-06-30,33.42,$28.44,1.18
2019-03-31,33.14,$29.23,1.13
2018-12-31,21.37,$29.69,0.72
2018-09-30,30.55,$30.63,1.0
2018-06-30,30.9,$28.89,1.07
2018-03-31,44.53,$29.68,1.5
2017-12-31,41.71,$28.90,1.44
2017-09-30,36.18,$27.28,1.33
2017-06-30,25.92,$28.21,0.92
2017-03-31,28.12,$26.50,1.06
2016-12-31,34.87,$26.26,1.33
2016-09-30,32.52,$26.37,1.23
2016-06-30,30.64,$24.66,1.24
2016-03-31,26.01,$23.26,1.12
2015-12-31,34.5,$23.12,1.49
2015-09-30,41.52,$22.40,1.85
2015-06-30,41.9,$22.16,1.89
2015-03-31,56.1,$22.77,2.46
2014-12-31,63.06,$21.67,2.91
2014-09-30,52.18,$22.30,2.34
2014-06-30,56.74,$19.70,2.88
2014-03-31,46.3,$19.53,2.37
2013-12-31,38.42,$18.86,2.04
2013-09-30,27.41,$16.44,1.67
2013-06-30,27.33,$16.47,1.66
2013-03-31,26.46,$14.84,1.78
2012-12-31,18.84,$14.45,1.3
2012-09-30,14.62,$16.97,0.86
2012-06-30,14.45,$14.59,0.99
2012-03-31,13.45,$14.06,0.96
2011-12-31,10.19,$14.38,0.71
2011-09-30,9.19,$11.84,0.78
2011-06-30,16.25,$12.74,1.28
2011-03-31,17.03,$12.32,1.38
2010-12-31,14.79,$12.46,1.19
2010-09-30,11.07,$12.69,0.87
2010-06-30,9.34,$12.64,0.74
2010-03-31,10.93,$13.72,0.8
2009-12-31,12.47,$14.21,0.88
