PENN Entertainment Price to Free Cash Flow Ratio Historical Data,PENN Entertainment Price to Free Cash Flow Ratio Historical Data,PENN Entertainment Price to Free Cash Flow Ratio Historical Data,PENN Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.78,,0.0
2024-06-30,19.36,$-0.80,0.0
2024-03-31,18.21,$-0.59,0.0
2023-12-31,26.02,$0.63,41.05
2023-09-30,22.95,$2.39,9.6
2023-06-30,24.03,$2.90,8.3
2023-03-31,29.66,$3.12,9.49
2022-12-31,29.7,$3.51,8.46
2022-09-30,27.51,$3.33,8.26
2022-06-30,30.42,$2.92,10.4
2022-03-31,42.42,$3.71,11.42
2021-12-31,51.85,$3.72,13.92
2021-09-30,72.46,$4.55,15.92
2021-06-30,76.49,$5.79,13.21
2021-03-31,104.84,$3.18,32.98
2020-12-31,86.37,$1.63,53.11
2020-09-30,72.7,$1.88,38.73
2020-06-30,30.54,$0.88,34.78
2020-03-31,12.65,$2.96,4.27
2019-12-31,25.56,$4.36,5.86
2019-09-30,18.63,$3.94,4.73
2019-06-30,19.26,$2.63,7.31
2019-03-31,20.1,$2.76,7.29
2018-12-31,18.83,$2.60,7.25
2018-09-30,32.92,$4.30,7.65
2018-06-30,33.59,$4.05,8.3
2018-03-31,26.26,$3.90,6.74
2017-12-31,31.33,$4.05,7.73
2017-09-30,23.39,$2.75,8.49
2017-06-30,21.4,$3.74,5.73
2017-03-31,18.43,$3.73,4.95
2016-12-31,13.79,$3.56,3.87
2016-09-30,13.57,$3.18,4.27
2016-06-30,13.95,$3.16,4.42
2016-03-31,16.69,$2.62,6.37
2015-12-31,16.02,$2.37,6.77
2015-09-30,16.78,$1.17,14.35
2015-06-30,18.35,$0.52,35.31
2015-03-31,15.66,$0.71,22.14
2014-12-31,13.73,$0.46,30.12
2014-09-30,11.21,$0.84,13.34
2014-06-30,12.14,$1.87,6.49
2014-03-31,12.32,$2.69,4.59
2013-12-31,14.33,$3.33,4.31
2013-09-30,12.82,$4.07,3.15
2013-06-30,12.25,$2.84,4.31
2013-03-31,12.6,$1.06,11.93
2012-12-31,11.37,$0.38,29.86
2012-09-30,9.98,$0.16,60.61
2012-06-30,10.32,$0.78,13.31
2012-03-31,9.95,$2.28,4.37
2011-12-31,8.81,$2.68,3.28
2011-09-30,7.71,$3.17,2.43
2011-06-30,9.34,$3.28,2.85
2011-03-31,8.58,$2.38,3.61
2010-12-31,8.14,$1.69,4.82
2010-09-30,6.86,$0.99,6.91
2010-06-30,5.35,$0.46,11.69
2010-03-31,6.44,$0.03,243.89
2009-12-31,6.3,$0.66,9.58
