Lamar Advertising Price to Free Cash Flow Ratio Historical Data,Lamar Advertising Price to Free Cash Flow Ratio Historical Data,Lamar Advertising Price to Free Cash Flow Ratio Historical Data,Lamar Advertising Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,135.96,,19.54
2024-06-30,118.27,$6.96,17.0
2024-03-31,116.82,$6.13,19.05
2023-12-31,102.83,$6.00,17.14
2023-09-30,79.83,$6.00,13.31
2023-06-30,93.55,$6.00,15.6
2023-03-31,92.94,$6.16,15.1
2022-12-31,86.7,$6.20,13.98
2022-09-30,74.57,$6.05,12.32
2022-06-30,78.51,$5.97,13.16
2022-03-31,102.23,$6.11,16.72
2021-12-31,105.71,$6.07,17.43
2021-09-30,97.59,$6.11,15.97
2021-06-30,89.02,$5.81,15.32
2021-03-31,79.48,$5.41,14.68
2020-12-31,69.86,$5.14,13.59
2020-09-30,55.22,$5.02,11.0
2020-06-30,55.31,$4.93,11.21
2020-03-31,42.2,$4.98,8.47
2019-12-31,72.35,$4.94,14.65
2019-09-30,65.67,$4.73,13.87
2019-06-30,63.92,$4.68,13.67
2019-03-31,62.02,$4.76,13.03
2018-12-31,53.48,$4.58,11.68
2018-09-30,59.37,$4.53,13.11
2018-06-30,51.53,$4.27,12.06
2018-03-31,47.41,$4.11,11.53
2017-12-31,54.53,$4.10,13.29
2017-09-30,49.8,$4.17,11.95
2017-06-30,52.77,$4.18,12.64
2017-03-31,52.99,$4.16,12.74
2016-12-31,47.16,$4.36,10.82
2016-09-30,45.29,$4.15,10.92
2016-06-30,45.4,$4.19,10.82
2016-03-31,41.61,$3.98,10.47
2015-12-31,40.08,$3.92,10.23
2015-09-30,34.47,$3.84,8.97
2015-06-30,37.47,$3.83,9.8
2015-03-31,38.18,$3.55,10.77
2014-12-31,34.15,$3.66,9.32
2014-09-30,30.88,$3.10,9.95
2014-06-30,33.23,$3.31,10.05
2014-03-31,31.98,$3.26,9.8
2013-12-31,32.76,$3.12,10.49
2013-09-30,29.49,$3.38,8.72
2013-06-30,27.2,$3.10,8.77
2013-03-31,30.46,$3.07,9.93
2012-12-31,24.3,$2.97,8.17
2012-09-30,23.23,$2.73,8.5
2012-06-30,17.93,$2.67,6.72
2012-03-31,20.32,$2.57,7.91
2011-12-31,17.24,$2.41,7.14
2011-09-30,10.68,$2.92,3.66
2011-06-30,17.16,$2.94,5.84
2011-03-31,23.16,$3.16,7.34
2010-12-31,24.98,$3.12,8.01
2010-09-30,19.95,$2.85,7.01
2010-06-30,15.37,$2.69,5.72
2010-03-31,21.54,$2.77,7.78
2009-12-31,19.49,$2.93,6.65
