NewJersey Resources Price to Free Cash Flow Ratio Historical Data,NewJersey Resources Price to Free Cash Flow Ratio Historical Data,NewJersey Resources Price to Free Cash Flow Ratio Historical Data,NewJersey Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.01,,0.0
2024-06-30,42.34,$-1.05,0.0
2024-03-31,42.09,$-0.43,0.0
2023-12-31,43.3,$1.09,39.62
2023-09-30,39.09,$-0.63,0.0
2023-06-30,44.97,$-0.65,0.0
2023-03-31,50.28,$-2.33,0.0
2022-12-31,46.54,$-3.18,0.0
2022-09-30,36.02,$-2.85,0.0
2022-06-30,41.07,$-3.63,0.0
2022-03-31,41.94,$-3.26,0.0
2021-12-31,37.24,$-3.70,0.0
2021-09-30,31.28,$-2.42,0.0
2021-06-30,35.19,$-1.73,0.0
2021-03-31,35.19,$-1.10,0.0
2020-12-31,31.13,$-3.19,0.0
2020-09-30,23.44,$-8.21,0.0
2020-06-30,27.98,$-8.72,0.0
2020-03-31,28.83,$-9.00,0.0
2019-12-31,37.39,$-6.90,0.0
2019-09-30,37.67,$-3.32,0.0
2019-06-30,41.17,$-3.38,0.0
2019-03-31,40.95,$-1.92,0.0
2018-12-31,37.34,$-1.16,0.0
2018-09-30,37.48,$0.04,894.42
2018-06-30,36.15,$0.05,668.21
2018-03-31,32.18,$0.03,1069.15
2017-12-31,32.04,$-0.97,0.0
2017-09-30,33.37,$-1.45,0.0
2017-06-30,31.23,$-0.74,0.0
2017-03-31,30.96,$-1.68,0.0
2016-12-31,27.57,$-2.47,0.0
2016-09-30,25.34,$-2.45,0.0
2016-06-30,29.52,$-2.78,0.0
2016-03-31,27.71,$-1.70,0.0
2015-12-31,24.9,$-0.08,0.0
2015-09-30,22.49,$0.82,27.39
2015-06-30,20.46,$0.55,37.32
2015-03-31,22.88,$-0.38,0.0
2014-12-31,22.37,$1.74,12.84
2014-09-30,18.32,$0.88,20.78
2014-06-30,20.55,$1.28,16.12
2014-03-31,17.77,$2.01,8.85
2013-12-31,16.35,$-1.32,0.0
2013-09-30,15.43,$-1.00,0.0
2013-06-30,14.28,$-0.81,0.0
2013-03-31,15.28,$-1.59,0.0
2012-12-31,13.38,$-1.25,0.0
2012-09-30,15.28,$-1.88,0.0
2012-06-30,14.33,$-1.84,0.0
2012-03-31,14.52,$-0.65,0.0
2011-12-31,15.9,$1.08,14.72
2011-09-30,13.64,$0.90,15.13
2011-06-30,14.18,$0.86,16.47
2011-03-31,13.54,$-0.57,0.0
2010-12-31,13.48,$-0.67,0.0
2010-09-30,12.16,$0.51,23.68
2010-06-30,10.82,$-0.12,0.0
2010-03-31,11.43,$1.17,9.76
2009-12-31,11.28,$1.43,7.9
