NetScout Systems Price to Free Cash Flow Ratio Historical Data,NetScout Systems Price to Free Cash Flow Ratio Historical Data,NetScout Systems Price to Free Cash Flow Ratio Historical Data,NetScout Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.54,,13.51
2024-06-30,18.29,$1.59,11.47
2024-03-31,21.84,$0.73,29.75
2023-12-31,21.95,$0.96,22.9
2023-09-30,28.02,$1.39,20.19
2023-06-30,30.95,$1.86,16.6
2023-03-31,28.65,$2.00,14.32
2022-12-31,32.51,$2.51,12.95
2022-09-30,31.32,$3.13,10.02
2022-06-30,33.85,$3.31,10.22
2022-03-31,32.08,$3.80,8.43
2021-12-31,33.08,$2.99,11.07
2021-09-30,26.95,$2.61,10.32
2021-06-30,28.54,$0.30,95.97
2021-03-31,28.16,$1.36,20.67
2020-12-31,27.42,$1.01,27.25
2020-09-30,21.83,$0.10,220.28
2020-03-31,23.67,$2.73,8.67
2019-12-31,24.07,$2.40,10.04
2019-09-30,23.06,$2.13,10.83
2019-06-30,25.39,$2.59,9.81
2019-03-31,28.07,$2.01,13.93
2020-06-30,25.56,$1.23,20.8
2018-12-31,23.63,$1.43,16.53
2018-09-30,25.25,$1.87,13.48
2018-06-30,29.7,$2.04,14.59
2018-03-31,26.35,$2.34,11.26
2017-12-31,30.45,$2.49,12.21
2017-09-30,32.35,$2.45,13.19
2017-06-30,34.4,$2.36,14.6
2017-03-31,37.95,$2.12,17.89
2016-12-31,31.5,$1.63,19.28
2016-09-30,29.25,$1.30,22.42
2016-06-30,22.25,$1.05,21.24
2016-03-31,22.97,$0.88,25.98
2015-12-31,30.7,$1.52,20.21
2015-09-30,35.37,$1.64,21.6
2015-06-30,36.67,$1.77,20.69
2015-03-31,43.85,$2.26,19.4
2014-12-31,36.54,$2.26,16.15
2014-09-30,45.8,$2.44,18.79
2014-06-30,44.34,$2.57,17.22
2014-03-31,37.58,$2.33,16.11
2013-12-31,29.59,$1.83,16.17
2013-09-30,25.53,$1.25,20.43
2013-06-30,23.34,$1.03,22.69
2013-03-31,24.57,$1.13,21.8
2012-12-31,25.99,$1.11,23.47
2012-09-30,25.51,$1.16,21.93
2012-03-31,20.34,$1.34,15.2
2011-12-31,17.6,$1.45,12.1
2011-09-30,11.42,$1.67,6.82
2011-06-30,20.89,$1.73,12.05
2011-03-31,27.32,$1.82,15.05
2012-06-30,21.59,$1.73,12.51
2010-12-31,23.01,$1.37,16.8
2010-09-30,20.51,$1.28,15.97
2010-06-30,14.22,$1.29,11.06
2010-03-31,14.79,$0.96,15.34
2009-12-31,14.62,$1.50,9.77
