BrightView Holdings Price to Free Cash Flow Ratio Historical Data,BrightView Holdings Price to Free Cash Flow Ratio Historical Data,BrightView Holdings Price to Free Cash Flow Ratio Historical Data,BrightView Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.71,,9.85
2024-06-30,13.3,$1.70,7.84
2024-03-31,11.9,$1.62,7.33
2023-12-31,8.42,$1.64,5.14
2023-09-30,7.75,$0.86,9.03
2023-06-30,7.18,$0.66,10.94
2023-03-31,5.62,$0.43,13.06
2022-12-31,6.89,$-0.05,0.0
2022-09-30,7.94,$0.07,116.25
2022-06-30,12.0,$-0.18,0.0
2022-03-31,13.61,$0.17,82.14
2021-12-31,14.08,$-1.46,0.0
2021-09-30,14.76,$-0.24,0.0
2021-06-30,16.12,$0.39,40.93
2021-03-31,16.87,$0.62,27.32
2020-09-30,11.4,$1.90,5.99
2020-06-30,11.2,$2.03,5.52
2020-03-31,11.06,$1.35,8.18
2019-12-31,16.87,$0.91,18.53
2019-09-30,17.15,$1.30,13.16
2020-12-31,15.12,$0.34,44.64
2019-06-30,18.71,$0.92,20.27
2019-03-31,14.4,$1.52,9.5
