Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data,Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data,Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data,Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,36.61,,47.37
2024-06-30,33.4,$0.77,43.21
2024-03-31,30.67,$-1.26,0.0
2023-12-31,33.32,$-0.69,0.0
2023-09-30,31.57,$-0.31,0.0
2023-06-30,31.27,$-0.22,0.0
2022-12-31,35.66,$1.86,19.21
2022-09-30,35.82,$3.13,11.43
2022-06-30,35.39,$2.66,13.29
2022-03-31,37.7,$2.72,13.88
2021-12-31,36.3,$2.62,13.86
2023-03-31,35.28,$1.15,30.69
2021-09-30,33.64,$1.62,20.76
2021-06-30,34.52,$0.53,65.63
2021-03-31,33.49,$0.73,45.88
2020-12-31,30.9,$0.77,40.24
2020-09-30,26.51,$0.68,39.12
2019-12-31,27.34,$1.68,16.23
2019-09-30,25.66,$2.12,12.11
2019-06-30,27.01,$2.09,12.95
2019-03-31,26.0,$1.72,15.14
2018-12-31,23.69,$1.69,13.98
2020-03-31,23.04,$1.03,22.47
2018-09-30,21.27,$3.67,5.79
2018-06-30,111.98,$3.25,34.44
2018-03-31,108.65,$4.46,24.37
2017-12-31,89.08,$4.59,19.41
2017-09-30,81.2,$2.61,31.16
2017-06-30,83.62,$4.29,19.51
2017-03-31,89.87,$3.97,22.66
2016-12-31,83.22,$3.31,25.12
2016-09-30,83.81,$3.23,25.98
2016-06-30,88.69,$2.92,30.34
2020-06-30,27.13,$3.49,7.78
2016-03-31,82.07,$4.93,16.66
2015-12-31,85.54,$4.44,19.25
2015-09-30,72.55,$4.39,16.51
2015-06-30,66.91,$4.12,16.25
2015-03-31,72.03,$4.32,16.69
2014-12-31,65.79,$4.36,15.1
2014-09-30,59.03,$4.32,13.66
2014-06-30,53.77,$4.20,12.79
2014-03-31,49.99,$3.68,13.6
2013-12-31,44.72,$3.36,13.29
2013-09-30,40.81,$3.15,12.94
2013-06-30,41.47,$2.92,14.21
2013-03-31,42.05,$3.17,13.26
2012-12-31,39.22,$1.28,30.62
2012-09-30,39.23,$1.09,36.08
2012-06-30,38.26,$1.21,31.63
2012-03-31,34.89,$0.75,46.42
2011-12-31,33.95,$2.48,13.71
2011-09-30,33.08,$5.74,5.77
2011-06-30,35.46,$5.46,6.5
2011-03-31,31.18,$5.84,5.34
2010-12-31,29.31,$9.51,3.08
2010-09-30,29.41,$6.04,4.87
2010-06-30,30.74,$5.97,5.15
2010-03-31,28.73,$5.43,5.29
2009-12-31,23.02,$2.17,10.62
